,matlab_index,year_doy,satellite,filename,manual time,SOIT time
0,1,2015090,aqua,1_NE_Greenland.2015090.aqua.250m.tif,2015-03-31 12:25:00,2015-03-31 12:26:37
1,2,2015090,terra,2_NE_Greenland.2015090.terra.250m.tif,2015-03-31 13:45:00,2015-03-31 13:43:45
2,3,2015091,aqua,3_NE_Greenland.2015091.aqua.250m.tif,2015-04-01 11:30:00,2015-04-01 11:31:34
3,4,2015091,terra,4_NE_Greenland.2015091.terra.250m.tif,2015-04-01 14:25:00,2015-04-01 12:48:38
4,5,2015092,aqua,5_NE_Greenland.2015092.aqua.250m.tif,2015-04-02 12:15:00,2015-04-02 12:14:23
5,6,2015092,terra,6_NE_Greenland.2015092.terra.250m.tif,2015-04-02 13:30:00,2015-04-02 13:31:31
6,7,2015093,aqua,7_NE_Greenland.2015093.aqua.250m.tif,2015-04-03 12:55:00,2015-04-03 11:19:25
7,8,2015093,terra,8_NE_Greenland.2015093.terra.250m.tif,2015-04-03 14:15:00,2015-04-03 14:14:18
8,9,2015094,aqua,9_NE_Greenland.2015094.aqua.250m.tif,2015-04-04 12:00:00,2015-04-04 12:02:13
9,10,2015094,terra,10_NE_Greenland.2015094.terra.250m.tif,2015-04-04 13:20:00,2015-04-04 13:19:16
10,11,2015095,aqua,11_NE_Greenland.2015095.aqua.250m.tif,2015-04-05 12:45:00,2015-04-05 12:45:08
11,12,2015095,terra,12_NE_Greenland.2015095.terra.250m.tif,2015-04-05 14:00:00,2015-04-05 14:02:04
12,13,2015096,aqua,13_NE_Greenland.2015096.aqua.250m.tif,2015-04-06 11:50:00,2015-04-06 11:50:03
13,14,2015096,terra,14_NE_Greenland.2015096.terra.250m.tif,2015-04-06 13:05:00,2015-04-06 13:07:00
14,15,2015097,aqua,15_NE_Greenland.2015097.aqua.250m.tif,2015-04-07 12:30:00,2015-04-07 12:32:55
15,16,2015097,terra,16_NE_Greenland.2015097.terra.250m.tif,2015-04-07 13:50:00,2015-04-07 13:49:50
16,17,2015098,aqua,17_NE_Greenland.2015098.aqua.250m.tif,2015-04-08 13:15:00,2015-04-08 11:37:52
17,18,2015098,terra,18_NE_Greenland.2015098.terra.250m.tif,2015-04-08 14:30:00,2015-04-08 12:54:44
18,19,2015099,aqua,19_NE_Greenland.2015099.aqua.250m.tif,2015-04-09 12:20:00,2015-04-09 12:20:43
19,20,2015099,terra,20_NE_Greenland.2015099.terra.250m.tif,2015-04-09 13:35:00,2015-04-09 13:37:35
20,21,2015100,aqua,21_NE_Greenland.2015100.aqua.250m.tif,2015-04-10 13:00:00,2015-04-10 11:25:41
21,22,2015100,terra,22_NE_Greenland.2015100.terra.250m.tif,2015-04-10 14:20:00,2015-04-10 14:20:21
22,23,2015101,aqua,23_NE_Greenland.2015101.aqua.250m.tif,2015-04-11 12:05:00,2015-04-11 12:08:30
23,24,2015101,terra,24_NE_Greenland.2015101.terra.250m.tif,2015-04-11 13:25:00,2015-04-11 13:25:20
24,25,2015102,aqua,25_NE_Greenland.2015102.aqua.250m.tif,2015-04-12 12:50:00,2015-04-12 11:13:30
25,26,2015102,terra,26_NE_Greenland.2015102.terra.250m.tif,2015-04-12 14:05:00,2015-04-12 14:08:07
26,27,2015103,aqua,27_NE_Greenland.2015103.aqua.250m.tif,2015-04-13 11:55:00,2015-04-13 11:56:17
27,28,2015103,terra,28_NE_Greenland.2015103.terra.250m.tif,2015-04-13 13:15:00,2015-04-13 13:13:04
28,29,2015104,aqua,29_NE_Greenland.2015104.aqua.250m.tif,2015-04-14 12:40:00,2015-04-14 12:39:10
29,30,2015104,terra,30_NE_Greenland.2015104.terra.250m.tif,2015-04-14 13:55:00,2015-04-14 13:55:52
30,31,2015105,aqua,31_NE_Greenland.2015105.aqua.250m.tif,2015-04-15 11:45:00,2015-04-15 11:44:05
31,32,2015105,terra,32_NE_Greenland.2015105.terra.250m.tif,2015-04-15 13:00:00,2015-04-15 13:00:46
32,33,2015106,aqua,33_NE_Greenland.2015106.aqua.250m.tif,2015-04-16 12:25:00,2015-04-16 12:26:55
33,34,2015106,terra,34_NE_Greenland.2015106.terra.250m.tif,2015-04-16 13:45:00,2015-04-16 13:43:37
34,35,2015107,aqua,35_NE_Greenland.2015107.aqua.250m.tif,2015-04-17 11:30:00,2015-04-17 11:31:53
