,matlab_index,year_doy,satellite,filename,manual time,SOIT time
0,1,2003090,aqua,1_NE_Greenland.2003090.aqua.250m.tif,2003-03-31 11:25:00,2003-03-31 11:27:17
1,2,2003090,terra,2_NE_Greenland.2003090.terra.250m.tif,2003-03-31 14:30:00,2003-03-31 12:48:56
2,3,2003091,aqua,3_NE_Greenland.2003091.aqua.250m.tif,2003-04-01 12:10:00,2003-04-01 12:10:06
3,4,2003091,terra,4_NE_Greenland.2003091.terra.250m.tif,2003-04-01 13:30:00,2003-04-01 13:31:49
4,5,2003092,aqua,5_NE_Greenland.2003092.aqua.250m.tif,2003-04-02 12:50:00,2003-04-02 11:15:06
5,6,2003092,terra,6_NE_Greenland.2003092.terra.250m.tif,2003-04-02 14:15:00,2003-04-02 14:14:35
6,7,2003093,aqua,7_NE_Greenland.2003093.aqua.250m.tif,2003-04-03 12:00:00,2003-04-03 11:57:54
7,8,2003093,terra,8_NE_Greenland.2003093.terra.250m.tif,2003-04-03 13:20:00,2003-04-03 13:19:33
8,9,2003094,aqua,9_NE_Greenland.2003094.aqua.250m.tif,2003-04-04 12:40:00,2003-04-04 12:40:48
9,10,2003094,terra,10_NE_Greenland.2003094.terra.250m.tif,2003-04-04 14:00:00,2003-04-04 14:02:21
10,11,2003095,aqua,11_NE_Greenland.2003095.aqua.250m.tif,2003-04-05 11:45:00,2003-04-05 11:45:41
11,12,2003095,terra,12_NE_Greenland.2003095.terra.250m.tif,2003-04-05 13:05:00,2003-04-05 13:07:18
12,13,2003096,aqua,13_NE_Greenland.2003096.aqua.250m.tif,2003-04-06 12:30:00,2003-04-06 12:28:33
13,14,2003096,terra,14_NE_Greenland.2003096.terra.250m.tif,2003-04-06 13:50:00,2003-04-06 13:50:07
14,15,2003097,aqua,15_NE_Greenland.2003097.aqua.250m.tif,2003-04-07 13:10:00,2003-04-07 11:33:28
15,16,2003097,terra,16_NE_Greenland.2003097.terra.250m.tif,2003-04-07 14:30:00,2003-04-07 12:55:00
16,17,2003098,aqua,17_NE_Greenland.2003098.aqua.250m.tif,2003-04-08 12:15:00,2003-04-08 12:16:18
17,18,2003098,terra,18_NE_Greenland.2003098.terra.250m.tif,2003-04-08 13:35:00,2003-04-08 13:37:51
18,19,2003099,aqua,19_NE_Greenland.2003099.aqua.250m.tif,2003-04-09 13:00:00,2003-04-09 11:21:15
