,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
0,2018-04-01 12:00:00,2018_00001,606489.82509,-1138254.55635,-16.95022,78.13483,1716.80160125,216.87862,60.4416325,40.590735,,-0.02695091800378042,-0.011618508116194165,-0.0033819445601346353,253.7706455680533,0.01210071402248206
2,2018-04-01 12:00:00,2018_00002,737109.43087,-1982360.82823,-24.60315,70.65462,1229.0687275,207.27409,88.1630775,25.4556475,,-0.0003538060093990938,-0.0002288376032338772,0.00037078542058978576,328.3183639645084,0.0004357160506290418
3,2018-04-02 12:00:00,2018_00002,737079.7338,-1982337.69178,-24.60368,70.65491,1227.860795625,207.08914,88.090005,25.4364675,,0.006282311439220101,0.00015047367736429522,0.005426232584640403,1.5884497312835038,0.005428318560124563
4,2018-04-03 12:00:00,2018_00002,736928.52806,-1981893.72767,-24.60333,70.65912,1186.019249375,226.3495425,88.490745,25.5980925,,-0.0021251081657956885,-7.508964811831116e-05,0.0064477910754679405,359.3327753043261,0.006448228299939337
5,2018-04-04 12:00:00,2018_00002,736728.29173,-1981373.82785,-24.6035,70.66413,1138.3038675,247.4967475,88.844195,25.7668725,,-0.01222101416375168,-0.00070724265276701,-0.011347831955374118,183.5662913263576,0.011369849702494
6,2018-04-05 12:00:00,2018_00002,737012.71925,-1982314.10566,-24.60516,70.65531,1220.896915625,209.9134475,88.304195,25.422645,,-0.0010044840681981801,0.001048486461894412,-0.001191555003315381,138.6544433949682,0.0015871758524819422
7,2018-04-06 12:00:00,2018_00002,737133.50667,-1982379.03318,-24.60271,70.65439,1229.471328125,207.5400625,88.2280675,25.4904775,,-0.0002796853427643725,-4.8852439987427994e-05,0.00012441530934524913,338.56223923979417,0.0001336627475858524
8,2018-04-07 12:00:00,2018_00002,737125.80398,-1982370.42879,-24.60282,70.65449,1229.72646125,207.385545,88.18901,25.4801525,,3.177473879444146e-05,6.540483583513688e-06,-2.84778540452292e-06,113.52874243502157,7.133569037755633e-06
9,2018-04-08 12:00:00,2018_00002,737126.4194,-1982370.46246,-24.60281,70.65449,1229.752400625,207.4387525,88.1882325,25.4824075,,4.592597264113424e-05,-0.00014057172590916636,0.00020939004220688648,326.12499310952757,0.00025219952398940703
11,2018-04-01 12:00:00,2018_00007,751447.33938,-1577271.66276,-19.52583,73.97286,380.8752225,118.0476575,48.237145,17.216755,,0.05874773615747801,-0.00031466806187449017,0.000983389897847287,342.25621128742864,0.0010325074722983586
13,2018-04-01 12:00:00,2018_00020,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
15,2018-04-01 12:00:00,2018_00056,798991.32275,-1646435.46216,-19.11336,73.22224,35.161699375,21.78906,8.7201125,5.1893925,-0.34601505704862084,-0.395232138877311,-0.0752182882373171,-0.1387242398194817,208.46718929619362,0.15780432693321558
17,2018-04-01 12:00:00,2018_00077,752156.72787,-804289.29435,-1.91826,79.86008,106.7290925,43.4237375,18.1941425,7.78578,,-0.002840295121613983,-0.07778263407636551,-0.25397821163996714,197.02757997772238,0.26562204379850274
18,2018-04-02 12:00:00,2018_00077,762236.68311,-824906.89069,-2.25472,79.65873,111.423901875,44.242605,18.3715775,8.0307825,,,-0.07619798566816809,-0.2534172542832917,196.73508239485818,0.26462508911357757
20,2018-04-01 12:00:00,2018_00082,703825.42488,-808742.9328,-3.9678,80.1265,20.945506875,17.6020025,7.262625,3.817695,,-0.10666356340931514,-0.06327819538214473,-0.30522547331486716,191.71242616357506,0.3117157672802349
21,2018-04-02 12:00:00,2018_00082,717013.65633,-832225.18623,-4.2524,79.8847,21.392336875,17.83597,7.3450575,3.8977525,,,-0.04388731803341635,-0.200840690439908,192.32640434701466,0.20557986190418842
23,2018-04-03 12:00:00,2018_00165,760504.44685,-785204.76544,-0.91548,79.93402,21.88341625,16.7760375,6.556325,4.313195,-0.06196122177041896,-0.08173444415216949,-0.08107670923974267,-0.21420926555883624,200.73130388774774,0.2290393901327931
24,2018-04-04 12:00:00,2018_00165,768348.768,-803372.62931,-1.27646,79.76425,22.33857125,16.9285775,6.639275,4.352335,-0.07762219144653541,-0.09025152196730515,-0.07875191006495047,-0.2592171451769435,196.89913386692302,0.27091583876282066
26,2018-04-05 12:00:00,2018_00192,689236.15677,-742254.80658,-2.12109,80.66938,394.05844125,113.448435,42.692905,13.320325,,,-0.017414621204147135,-0.17456394998210695,185.69701747909664,0.17543044680168682
28,2018-04-05 12:00:00,2018_00200,692904.42121,-769855.80963,-3.01137,80.45984,47.098214375,30.515085,12.00535,6.0239375,-0.17672156249175822,,-0.03275761761495154,-0.17061629723867652,190.86829491600582,0.17373250241461383
30,2018-04-05 12:00:00,2018_00201,709017.63679,-712069.90425,-0.12302,80.7432,42.02353875,28.6452725,11.7180575,5.2256175,-0.1083925961650397,,-0.040921012573127385,-0.2351350621178323,189.872419452788,0.23866928312450872
32,2018-04-08 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
33,2018-04-09 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
34,2018-04-10 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
35,2018-04-11 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
36,2018-04-12 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
37,2018-04-13 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,-0.025472098594485255,-0.0003416932105742693,0.000683221167560472,333.42940574225725,0.0007639014425665437
38,2018-04-14 12:00:00,2018_00219,668625.7392,-1378705.4675,-19.12817,75.92345,93.9675325,46.3646225,21.955435,5.753145,,0.01141384472220966,-0.0009950744931361251,0.0019895715178173414,333.4282972229612,0.0022245377208310307
39,2018-04-15 12:00:00,2018_00219,668473.37204,-1378588.31328,-19.13139,75.92501,92.052938125,46.180065,21.56232,5.7333625,,0.0069876569629991735,0.0013369308485749035,-0.0026727110841722425,153.42508324613357,0.0029884391633975714
40,2018-04-16 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.00025707099194980206,0.0,0.0,90.0,0.0
41,2018-04-17 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
42,2018-04-18 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
43,2018-04-19 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
44,2018-04-20 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
45,2018-04-21 12:00:00,2018_00219,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.005791438767472357,-0.0008485143683455388,0.0033099882248055624,345.62186299122527,0.0034170160493682653
46,2018-04-22 12:00:00,2018_00219,668487.30226,-1378520.37229,-19.12982,75.92551,91.917425625,45.5094975,21.352005,5.8259875,,0.00611833920133426,0.00311357776922819,-0.015733070100328206,168.8057963090427,0.016038200064435952
48,2018-04-09 12:00:00,2018_00220,728032.47539,-838734.96634,-4.0416,79.77357,426.2579625,87.1263775,33.95573,17.0212675,,-0.015849449779795844,0.010902750214727523,-0.10499020156400063,174.0713467871406,0.1055547838171924
49,2018-04-10 12:00:00,2018_00220,734690.09741,-844967.88322,-3.99341,79.69047,422.350489375,87.0858925,34.0441225,16.869805,-0.04292960018029564,-0.023595580493245463,-0.04902391696957773,-0.16580374586673036,196.47159758702804,0.17289946957257954
50,2018-04-11 12:00:00,2018_00220,740893.29985,-858557.56626,-4.2074,79.55919,425.12073875,89.609225,34.5608375,16.75933,,0.0076731694305175405,-0.01853210784212589,-0.15113114122458665,186.9908633327999,0.15226313036621222
51,2018-04-12 12:00:00,2018_00220,748211.99568,-869489.39037,-4.28672,79.43961,442.8709675,100.76646,36.0837825,17.1968825,,0.008794876810733827,-0.015290998673063272,-0.14280103334336813,186.11188902807976,0.14361737278043127
53,2018-04-09 12:00:00,2018_00223,697842.1222,-849097.30321,-5.58444,79.87953,246.35983125,61.68475,22.1761275,14.3810225,,-0.023810440627776597,0.017020030564379264,-0.0994786043542138,170.2911352725975,0.10092410100998972
54,2018-04-10 12:00:00,2018_00223,704435.47636,-854803.73214,-5.5084,79.80078,257.826023125,65.3508575,22.9681025,14.70618,-0.004137392513172893,-0.03736896194747989,-0.04535901452354746,-0.14419639494069564,197.46170564893225,0.15116229858149308
55,2018-04-11 12:00:00,2018_00223,709334.3152,-866910.59038,-5.70885,79.68659,272.46413375,69.74539,23.312545,15.4424775,,-0.04443650051680775,-0.0011307161730755994,-0.1323942230530426,180.4893241408986,0.13239905141987557
56,2018-04-12 12:00:00,2018_00223,716502.49329,-875825.42661,-5.7139,79.58182,264.6159275,68.36304,22.83508,15.2636725,,-0.06490885352188887,0.0026354974429267583,-0.12436517497745965,178.78599228292683,0.12439309705102541
57,2018-04-13 12:00:00,2018_00223,723482.50647,-883997.91332,-5.70239,79.48342,264.26108875,68.638395,22.85494,15.2643325,-0.019680461432325193,-0.07368192290061197,0.032524130818385476,-0.09741867221180986,161.53793276919237,0.10270451197977383
58,2018-04-14 12:00:00,2018_00223,730988.01614,-888731.76386,-5.56247,79.40632,266.49026,66.772065,22.575525,15.5249525,-0.02324451310236527,-0.05626982949579372,0.002490380815131074,-0.0862896440894723,178.34686173056753,0.08632557369454416
60,2018-04-09 12:00:00,2018_00225,456787.65728,-747335.65228,-13.56583,81.92734,196.641636875,67.746325,23.7632175,13.4620525,,0.01566457689815765,-0.0020974098642290383,-0.0023251589779767134,222.05204222556347,0.003131372288858511
61,2018-04-10 12:00:00,2018_00225,456737.8062,-747601.57046,-13.57767,81.9255,186.969039375,64.0633075,23.0218075,12.6741325,,0.016338106834608842,0.0006384541099239926,-0.0004278678012955522,123.8284982315779,0.0007685665266353511
62,2018-04-11 12:00:00,2018_00225,456804.1518,-747604.35833,-13.57407,81.92516,187.838345625,64.2371975,23.144175,12.6243325,,,0.0006652834437654319,-0.00040927841433023663,121.5995819638411,0.0007810959486420764
63,2018-04-12 12:00:00,2018_00225,456871.63818,-747604.56287,-13.57032,81.92484,188.81114875,64.448955,23.275025,12.58178,,0.017732618852566738,0.0018706526097120914,0.00044044991664391353,76.75087938455846,0.0019218057433815438
64,2018-04-13 12:00:00,2018_00225,456989.70537,-747487.81205,-13.55975,81.92518,194.3334075,66.5009825,23.7618925,12.83684,,-0.013643634242590436,-0.0020692582354864437,2.37276602606352e-05,270.6569674036182,0.002069394270551147
65,2018-04-14 12:00:00,2018_00225,456836.10037,-747579.3183,-13.57143,81.92521,189.21103875,64.410545,23.2774725,12.676645,,-0.01646174359839356,0.000958946763866943,0.0003997748603921345,67.36925597815184,0.0010389412086025047
67,2018-04-09 12:00:00,2018_00226,817607.31944,-1680273.06258,-19.05283,72.87361,151.6954625,48.902345,19.249005,10.252515,-0.5873327885050117,,-0.0117983228886379,-0.2838598046203424,182.3800665882847,0.2841048910210514
68,2018-04-10 12:00:00,2018_00226,827421.63985,-1702772.3461,-19.08367,72.65209,147.787989375,48.2750975,19.0944125,10.089285,-0.42691369465543894,0.07346465564133228,-0.10599511243933235,-0.1890024978380703,209.2842875652349,0.21669542692465035
69,2018-04-11 12:00:00,2018_00226,826321.72931,-1721462.49423,-19.35618,72.50431,145.25863,48.6360025,18.74779,10.136165,,0.046382824411616154,-0.10545338249562608,-0.18703647668781645,209.414819136619,0.2147162301540359
70,2018-04-12 12:00:00,2018_00226,825100.883,-1739973.76186,-19.62931,72.35842,140.928085625,48.37642,18.2649625,10.1305275,-0.09477351472246295,,-0.057183915718646686,-0.16484773969799893,199.1311125721685,0.17448431878096238
72,2018-04-09 12:00:00,2018_00231,727114.62471,-813631.79415,-3.21391,79.95172,105.07339875,41.3956725,15.88314,8.769515,,-0.10541034889972782,0.016411770287759947,-0.13898630775156084,173.26558878263006,0.13995192012398322
73,2018-04-10 12:00:00,2018_00231,736173.74384,-821640.85763,-3.14031,79.84169,104.75311375,41.3024075,15.8758225,8.756745,-0.09476462393061559,-0.08461996323219471,-0.06545256736941882,-0.1928799574630306,198.74431148845957,0.20368288235929108
74,2018-04-11 12:00:00,2018_00231,743082.51945,-837826.20592,-3.42961,79.6889,105.272371875,42.0403375,16.1690225,8.63356,,-0.042451454984743335,-0.0075551751787114735,-0.16029492364148235,182.69852293649126,0.16047287377376176
75,2018-04-12 12:00:00,2018_00231,751783.83447,-848620.71179,-3.46265,79.56206,105.731855,41.8521125,16.00558,8.7628775,,-0.039449176398193384,0.000804243719185832,-0.15198682436327313,179.69682016236425,0.15198895219058614
76,2018-04-13 12:00:00,2018_00231,760543.56418,-858403.98838,-3.45915,79.4418,105.0221775,41.3943075,15.7376525,8.8600625,0.01628370439341839,,0.02730833447279095,-0.10987634130646913,166.04267743485207,0.11321905983788029
78,2018-04-09 12:00:00,2018_00232,704037.45241,-722169.55842,-0.72828,80.70927,101.082785,40.5896575,17.0486475,7.7700775,-0.7145782917817434,,0.037176334942241596,-0.2135953897436118,170.12656164050725,0.21680652757577012
79,2018-04-10 12:00:00,2018_00232,719219.85152,-733141.60142,-0.54923,80.53996,93.139724375,41.3931875,17.5038,7.1121925,-0.059549219909902966,-0.058447009096314326,-0.032541565705792544,-0.20438360433428118,189.04658932978066,0.20695799385202884
80,2018-04-11 12:00:00,2018_00232,729579.14882,-747716.27891,-0.70338,80.37798,100.73117875,41.26508,17.4713475,7.5850425,0.03290604271210741,0.026350624283994078,0.007195146024005408,-0.13428479764738793,176.93295393191562,0.1344774219172374
82,2018-04-09 12:00:00,2018_00233,708545.4257,-651621.49251,2.39649,81.13077,95.98478625,36.67554,12.3534625,10.117445,,0.04424125091277965,0.008400036792436553,-0.11983653506804334,175.990365401632,0.12013057793596378
83,2018-04-10 12:00:00,2018_00233,716657.73688,-658096.05047,2.4392,81.03574,101.942081875,38.099655,12.5974925,10.6042125,-0.15014306305877445,0.025207852919358315,0.01129160684821661,-0.09225175100295355,173.02171205142332,0.09294022782587545
85,2018-04-09 12:00:00,2018_00236,519123.54351,-891374.64983,-14.7841,80.49868,46.113345,27.329005,10.1187525,6.26583,,0.0012715736431034709,-0.00033891704369528436,0.0028872817309922518,353.3051011963391,0.0029071051849956795
86,2018-04-10 12:00:00,2018_00236,518972.69579,-891173.81834,-14.78573,80.50097,42.782384375,26.4178575,9.659705,6.1076475,,0.004194660813468456,-4.268769712871133e-05,-0.002925144460153281,180.8360788029588,0.0029254559221173686
87,2018-04-11 12:00:00,2018_00236,519096.69249,-891394.07303,-14.78594,80.49865,45.833096875,27.6495,10.2521125,6.1844425,,0.007220717984802446,-0.0003845054644519152,-0.00032269244398833223,229.99527394952537,0.0005019709808350936
88,2018-04-12 12:00:00,2018_00236,519082.01471,-891434.88412,-14.78779,80.4984,45.750860625,27.3439675,10.305645,6.071955,,0.0021359718617403227,0.0003393335159482249,0.0002156971640572772,57.55794229282367,0.00040208519200305814
89,2018-04-13 12:00:00,2018_00236,519097.9729,-891404.02614,-14.78615,80.49857,45.89902125,27.695,10.2632675,6.16958,,-0.010740242629584533,0.0003013985170905249,-0.0007267307066907868,157.47464792014824,0.0007867519216065874
90,2018-04-14 12:00:00,2018_00236,519152.07367,-891445.18142,-14.78471,80.49799,46.9025975,27.764105,10.314085,6.2584125,,-0.010998050868980916,5.3573265792930536e-05,0.0006399072505492419,4.785663084349267,0.0006421459211995435
92,2018-04-09 12:00:00,2018_00237,438704.99431,-746323.03141,-14.55206,82.02076,41.768905625,45.163845,24.267095,2.3705475,,0.0003969931274593404,0.00231055027570502,0.0030483753071924207,37.160716270420664,0.00382507968414529
93,2018-04-10 12:00:00,2018_00237,438743.62563,-745994.81014,-14.53884,82.02318,43.050044375,46.53492,25.01193,2.38152,,0.0003969931274593404,-0.0008751003675781496,-0.001157972001735097,217.0790004553324,0.0014514474879022666
94,2018-04-11 12:00:00,2018_00237,438729.17314,-746119.37962,-14.54385,82.02226,42.565289375,46.046565,24.7277325,2.37679,,,-0.000906278138723229,-0.0011993426220371453,217.07636243218315,0.001503250740815575
95,2018-04-12 12:00:00,2018_00237,438714.1995,-746248.39446,-14.54903,82.0213,42.0631975,45.5399525,24.43343,2.371905,,,0.001567789966769937,0.002159736362359911,35.97654623480946,0.00266878746527409
97,2018-04-10 12:00:00,2018_00244,540511.28198,-790567.33401,-10.63957,81.17618,243.416666875,68.0250375,21.75174,16.2081225,,0.0026471140276157186,0.002045345515897829,0.001370693262276521,56.171887569408796,0.0024621613063838055
98,2018-04-11 12:00:00,2018_00244,540590.32281,-790369.83233,-10.62899,81.17726,245.75566625,67.761725,21.643545,16.493615,,-0.007892716192668877,0.0007088397698546948,0.0011581896652589957,31.467628990936305,0.0013578870056232223
99,2018-04-12 12:00:00,2018_00244,540584.38026,-790252.66149,-10.62532,81.17818,247.23056125,67.9756175,21.865865,16.43357,,-0.019151882006622746,0.00020615131650309347,-0.00018586905512097443,132.03828466307579,0.00027757101964636445
100,2018-04-13 12:00:00,2018_00244,540608.14819,-790255.85967,-10.62426,81.17803,246.949510625,69.616595,21.80261,16.5385525,,0.02637934134388395,0.0007289843367264757,0.0008555572299041093,40.43292089326599,0.0011240090465978166
102,2018-04-10 12:00:00,2018_00255,803878.59769,-1509436.28105,-16.96163,74.30797,69.490384375,32.6495375,11.104715,8.481785,,0.3873654428673283,-0.12900900377330934,-0.24248460641331615,208.0143021249183,0.27466726671010977
103,2018-04-11 12:00:00,2018_00255,803888.56638,-1533167.5308,-17.32577,74.11742,68.6124475,32.2826275,11.7825325,7.7147975,,0.15940287507296003,-0.1390826178378116,-0.24387553519881436,209.69618304517996,0.28074766473316726
104,2018-04-12 12:00:00,2018_00255,803030.71435,-1557408.95501,-17.72296,73.92644,66.7296025,32.041875,11.6009225,7.7019175,-0.01100436916894662,,-0.025717774971472596,-0.23107462519205407,186.35067859582784,0.23250136850593284
106,2018-04-10 12:00:00,2018_00260,827483.44513,-1825634.57027,-20.61721,71.64886,49.875,29.317475,12.8089225,5.07565,,-0.3238409475567496,-0.05151840971013861,-0.18612033668190664,195.47217435769426,0.19311894331123497
107,2018-04-11 12:00:00,2018_00260,830067.9158,-1842118.67304,-20.74224,71.50401,49.845624375,29.19793,12.63696,5.12458,,-0.3238409475567496,-0.057614832838917204,-0.2008367960733936,196.00680309912462,0.2089375208527235
108,2018-04-12 12:00:00,2018_00260,832658.19969,-1859984.0703,-20.88327,71.3478,49.814243125,29.182365,12.4929975,5.1609025,,,-0.003914903781046503,-0.20396713217564505,181.0995885584768,0.204004699650699
110,2018-04-10 12:00:00,2018_00263,586008.39912,-743641.29651,-6.76094,81.27614,34.357371875,25.8723075,11.520285,4.05569,,-0.047544354260083466,0.05488916369559088,-0.09170229756035655,149.09702335437782,0.10687437330365754
111,2018-04-11 12:00:00,2018_00263,594637.2046,-746929.07266,-6.47751,81.20325,34.767520625,25.83555,11.522035,4.0532575,,-0.014609907409966446,0.04104651923152791,-0.0596700802222488,145.47626211485976,0.07242468650090104
