,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
0,2003-04-01 12:00:00,2003_00002,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,-0.0001400567521974743,0.003360523915634085,0.0005653322312942338,-0.0012672508126914052,155.95791070995642,0.0013876329320130535
1,2003-04-02 12:00:00,2003_00002,668769.78955,-1378822.89891,-19.12524,75.92191,95.4203475,47.4296825,22.458595,5.7647225,-0.0036661681121803453,-0.0031604618124684088,-0.0005652918391787101,0.0012672688312134468,335.95973693193935,0.0013876329320130537
2,2003-04-03 12:00:00,2003_00002,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,-0.004019302410101479,-0.0002203828415964665,0.0,0.0,90.0,0.0
3,2003-04-04 12:00:00,2003_00002,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
4,2003-04-05 12:00:00,2003_00002,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,-6.65011213307551e-05,0.0005960698149408076,353.6340645175922,0.0005997679746550464
6,2003-04-01 12:00:00,2003_00005,753837.84441,-1578865.79281,-19.47761,73.95051,525.08689,127.96194,49.0883425,19.514245,-0.0022627838806319133,-0.021706110059238483,0.0004392473265903065,-0.0002717756371003762,121.74633487391532,0.0005165270668978023
7,2003-04-02 12:00:00,2003_00005,753882.2093,-1578870.63114,-19.47637,73.9503,503.109375,131.262625,49.5805725,18.7222425,0.004282674940929214,0.011734559319150113,-0.0034784824786526754,0.0031676982922763646,312.3227239741218,0.004704694764294944
9,2003-04-01 12:00:00,2003_00035,824655.4099,-1406854.07782,-14.62245,75.02856,30.1189025,20.4797675,8.653455,4.482075,-0.07887167479002871,-0.0868973822233215,-0.10052736659080533,-0.28459764839891794,199.45455894953716,0.3018303710826269
10,2003-04-02 12:00:00,2003_00035,829596.94114,-1432459.75818,-14.92308,74.80512,29.859375,20.475375,8.64336,4.44884,-0.022346321450005223,-0.00017545569425622714,-0.049072037840394496,-0.1279722438300205,200.9797432169531,0.13705823612136314
11,2003-04-03 12:00:00,2003_00035,831469.245,-1444152.63866,-15.06886,74.70473,30.7057925,20.58939,8.5394,4.61806,-0.00757810549824238,0.005910065332869355,-0.07981836583932568,-0.1978961104390744,201.9659297783724,0.21338660232586013
13,2003-04-01 12:00:00,2003_00051,853443.35608,-1659265.62755,-17.78099,72.89846,56.47208375,34.6094325,13.031225,6.190975,-0.09315387303969444,-0.14602210025905712,-0.010598328536109786,-0.2030930594742047,182.98724721340096,0.20336940619068583
14,2003-04-02 12:00:00,2003_00051,860655.04986,-1675288.59902,-17.80883,72.73995,55.46875,32.93425,13.214655,5.765915,-0.015562656423724648,-0.07628295704504726,-0.004834395447233401,-0.15072293332270167,181.83711609113504,0.15080044432540576
16,2003-04-01 12:00:00,2003_00052,744373.14431,-1665622.04493,-20.91995,73.27358,48.866174375,26.282285,9.508935,6.808615,-0.015892544126654796,0.061316097441982326,-0.0022868322526291463,-0.00010470441170871959,267.3784985395131,0.0022892279846044527
17,2003-04-02 12:00:00,2003_00052,744196.44743,-1665710.92023,-20.92615,73.2735,48.578125,26.032,9.5103575,6.81588,-0.009885816869266505,0.029562479710168503,-0.0008361008288463969,-0.00028966021620553255,250.89177980287235,0.0008848545851437217
19,2003-04-01 12:00:00,2003_00055,866384.05355,-1644703.98598,-17.22105,72.96118,25.120586875,17.93594,6.0277725,5.4433675,-0.2134669500484178,-0.11182401827957869,-0.023609356565275394,-0.3207492936437164,184.20977203046743,0.32161702549829246
20,2003-04-02 12:00:00,2003_00055,877495.16239,-1670173.5785,-17.28294,72.71082,25.34375,17.653375,6.14478,5.35299,-0.11970852926868894,-0.025969268787738795,-0.04463656997253596,-0.20452269196950354,192.31160905918063,0.20933694110062256
21,2003-04-03 12:00:00,2003_00055,882299.85789,-1687610.43721,-17.39898,72.55124,25.02134125,17.6064625,6.0987575,5.3291825,-0.06457522207440099,-0.2917403839541037,-0.051265185661295766,-0.2494118618786395,191.61505117300612,0.25462599259827473
23,2003-04-02 12:00:00,2003_00059,740879.54921,-768808.08081,-1.0598,80.16705,500.359375,92.332875,36.541545,18.29033,-0.055643348241897525,-0.040733529031275285,-0.0607258423778127,-0.2516689412034393,193.56573736202347,0.25889164509299084
24,2003-04-03 12:00:00,2003_00059,752190.02439,-788106.03999,-1.33575,79.96766,487.054878125,100.9811575,36.587315,18.031875,-0.12726472977917494,-0.10141960503710734,-0.10378228746755466,-0.2930411703046494,199.50190524955002,0.3108760053228886
25,2003-04-04 12:00:00,2003_00059,763184.32167,-812612.53312,-1.79638,79.73535,464.846003125,114.76927,36.8308925,18.33665,-0.1499588653817115,-0.16787612370002303,-0.0556525799079436,-0.2946088753470055,190.69730632173065,0.2998192773716151
27,2003-04-02 12:00:00,2003_00062,746455.09471,-641848.63368,4.30902,80.93038,115.453125,46.083625,15.3316875,10.6274225,-0.03724342103028577,-0.06348711095889192,-0.05146538298679262,-0.16771121867177258,197.0596295096282,0.1754301528083139
