,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
0,2006-04-01 12:00:00,2006_00002,754936.48649,-1988413.7422,-24.20985,70.54744,1771.6031075,320.0499625,131.9326075,46.81712,-0.00015557909896742148,0.000298823095879026,-0.00022536194880784703,9.890602221209675e-05,293.69553259453437,0.0002461105629595984
1,2006-04-02 12:00:00,2006_00002,754915.24987,-1988412.6644,-24.21037,70.54751,1771.067764375,319.7905575,131.878605,46.7885525,7.059353263623376e-05,0.00010666623397978775,0.00014532829455780362,-6.483665176225658e-05,114.04352429583918,0.0001591354913613549
3,2006-04-01 12:00:00,2006_00008,838197.3019,-1581148.2841,-17.07107,73.58847,148.15042375,53.78115,19.7746425,10.3595675,-0.09499280722424029,0.04857868182690928,-0.07629156316400516,-0.1665607755948977,204.6096927814799,0.18320178649997185
4,2006-04-02 12:00:00,2006_00008,839113.76696,-1596950.36489,-17.27887,73.45805,155.45659125,51.9257175,19.4010325,10.6419125,,0.05294867302231518,-0.07601932847361256,-0.167453920263967,204.41670072701015,0.18390147827940378
6,2006-04-01 12:00:00,2006_00015,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
7,2006-04-02 12:00:00,2006_00015,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
8,2006-04-03 12:00:00,2006_00015,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
10,2006-04-01 12:00:00,2006_00044,906288.93679,-1956573.86608,-20.14628,70.2838,129.65534375,47.6722875,18.5257775,9.5349,-0.05282687091522887,-0.13854759345867163,-0.10793735076562183,-0.2099390941685167,207.20934997178028,0.23606121017778037
12,2006-04-01 12:00:00,2006_00053,853249.03822,-1226430.77252,-10.173,76.27147,388.44420875,83.43757,34.2531625,14.83248,-0.032443311807838424,-0.01826898052147146,-0.028576327157554218,-0.1986518470939679,188.1859165558932,0.20069669361417186
14,2006-04-03 12:00:00,2006_00115,857773.68116,-1545742.79288,-15.97294,73.78571,54.11829125,38.3499425,18.64545,3.860875,-0.2410611771498417,-0.24240093590925957,-0.013666951602386873,-0.1812383227236904,184.31244008489398,0.18175289595986782
16,2006-04-03 12:00:00,2006_00117,864637.23646,-1627287.86421,-17.01667,73.10771,41.259886875,29.0669575,13.3843825,4.1477325,0.09931440914456204,0.10429454162379875,-0.01168751296299017,-0.16381786279115534,184.0808275535851,0.16423425382276946
18,2006-04-03 12:00:00,2006_00121,837856.56756,-1550731.42823,-16.61775,73.8327,32.6860875,24.7661525,11.1785925,3.9301175,-0.294359939152224,-0.2991978041833242,0.0031089802241152237,-0.1374069395821544,178.70384234011226,0.13744210709738036
20,2006-04-06 12:00:00,2006_00166,755096.50859,-1988416.2895,-24.20584,70.5469,1775.71875,322.07925,132.3083825,47.067395,-0.00018265752982613159,-0.008279249027581283,-0.005627201231175701,0.004255023726509936,307.0948494255006,0.007054829594632873
21,2006-04-07 12:00:00,2006_00166,754511.47355,-1988245.20562,-24.21894,70.5502,1751.28381125,325.503075,131.40882,46.89154,2.8528075165105753e-05,-0.0008915924510157114,0.005768256740097544,-0.004335260632106394,126.92750069691118,0.007215765418025469
23,2006-04-11 12:00:00,2006_00228,667770.03966,-1378080.23661,-19.14678,75.93195,82.468354375,44.1985825,20.1426175,5.5057125,0.029789160491679,0.051756454436453395,0.010022922775511135,-0.02155294091894905,155.0598122916207,0.02376948134098782
24,2006-04-12 12:00:00,2006_00228,669361.38087,-1379378.40755,-19.11441,75.91501,95.473825,47.2744,22.46502,5.779625,-0.011987348582396692,-0.02078686483735625,-0.00391499237083897,0.009937827134296476,338.4981126414481,0.010681178465641638
26,2006-04-13 12:00:00,2006_00248,755110.07177,-1988416.74886,-24.20551,70.54686,1776.0609175,322.23562,132.34226,47.08694,-0.00020314410496984634,-0.006579605875171514,0.0010409625428464174,-0.00045388497499678794,113.55837207711056,0.0011356119874926973
28,2006-04-18 12:00:00,2006_00277,755112.69388,-1988438.60946,-24.20565,70.54667,1774.433863125,322.424105,132.22543,47.042865,2.592194324427518e-05,-0.00034086090610693787,0.0003105185805376842,0.00015482286548930245,63.49940706677302,0.0003469753716583598
29,2006-04-19 12:00:00,2006_00277,755133.02615,-1988416.57949,-24.20492,70.54679,1776.650776875,322.6503525,132.3946725,47.1266475,2.592194324427518e-05,-0.009127779172840477,-0.00333448835379014,0.003621078459412828,317.359422483872,0.0049225015785457765
30,2006-04-20 12:00:00,2006_00277,754752.62023,-1988226.38237,-24.21269,70.5496,1755.39087,324.8340775,132.2176075,47.0512,,-0.018237848617035726,-0.0014189876249286104,-0.0005081590323285979,250.29685393717307,0.001507233054918076
31,2006-04-21 12:00:00,2006_00277,754653.58233,-1988310.94021,-24.21599,70.5492,1758.655606875,321.5585425,131.6000575,46.6730425,,,-0.00558228647422962,0.0016562413842444558,286.52540569708117,0.005822804977264047
33,2006-04-19 12:00:00,2006_00280,874412.40687,-1829385.63331,-19.45306,71.43991,125.262711875,46.44407,14.1873625,12.3610425,-0.19214233732884267,0.12567272251888253,-0.04014946484528365,-0.20945244664975413,190.85126891387625,0.2132658128602209
35,2006-04-19 12:00:00,2006_00284,902148.56727,-2065594.97702,-21.4067,69.4082,33.842514375,21.0256325,7.356785,5.9915875,-0.580578840845597,-0.5283524228113461,-0.1696937598504511,-0.18778255477634875,222.10322518538896,0.2530973330766545
37,2006-04-20 12:00:00,2006_00294,913439.56481,-1921035.57277,-19.56922,70.54526,38.37420875,25.222195,10.5323425,4.7820275,,,-0.30049161552148523,0.13913260560900312,294.84491971778357,0.33113908398475483
39,2006-04-28 12:00:00,2006_00313,754829.06043,-1988406.71356,-24.21248,70.54784,1768.9216775,319.4583675,131.64977,46.681715,0.00011025931349583426,0.01789693508052225,0.013299000622981545,-0.0054863061534688095,112.41787199844134,0.014386207727530324
40,2006-04-29 12:00:00,2006_00313,756071.5256,-1988442.07759,-24.18154,70.54358,1800.11550625,326.98138,134.78754,48.397405,-0.00017811271354938174,-0.011902829229745482,-0.014787359005108924,0.006162042457049383,292.62198733872935,0.016019886191495095
41,2006-04-30 12:00:00,2006_00313,754688.09309,-1988398.51625,-24.21596,70.54836,1764.994935625,318.9778575,131.3266,46.4752275,,-0.002425652131644529,-0.0008481463289785682,0.000844572292005762,314.8790248257904,0.0011969354835510925
43,2006-04-29 12:00:00,2006_00324,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,-0.0015526697073984864,-0.005360089433470378,-0.0036670782195195634,0.004201264981162214,318.8838866501942,0.005576566157593282
45,2006-04-29 12:00:00,2006_00329,742420.0036,-1333011.41635,-15.88441,75.9823,25.4390825,18.5560375,7.0171275,4.773115,-0.10748179656900793,,-0.01163683012624555,-0.06572768764638544,190.03995463743126,0.06674986695663074
47,2006-05-06 12:00:00,2006_00355,754891.88865,-1988443.23638,-24.21125,70.54733,1762.264240625,320.608975,131.65976,46.74059,0.00047004709662064065,0.003497792277684074,9.291308187291244e-05,-0.001064500460156206,175.01167895530887,0.0010685476453840966
48,2006-05-07 12:00:00,2006_00355,754932.03701,-1988526.37215,-24.21104,70.5465,1760.644230625,319.423155,131.4508,46.5665875,-0.0012223911491928605,-0.1106992758958452,-0.041350643436014224,0.025735807262604937,301.8973020598305,0.048705312729006627
50,2006-05-07 12:00:00,2006_00362,743596.06121,-1572418.12715,-19.69054,74.0431,83.07312375,40.0344025,14.402185,8.647265,0.0016737265901639838,-0.02028352860756258,-0.0015857942289859523,0.003198168801636281,333.62574194847224,0.00356973766829508
51,2006-05-08 12:00:00,2006_00362,743354.07065,-1572226.90279,-19.69506,74.0456,81.00079125,40.5855125,14.1143225,8.8103925,0.0015946258967364244,0.0022564262839651723,0.0014233441164444758,-0.001004672840650063,125.21650071221052,0.0017422043481052883
52,2006-05-09 12:00:00,2006_00362,743502.35044,-1572252.81259,-19.69101,74.04481,83.96182,39.9507975,14.2829275,8.8425425,,-0.00022373231421754056,0.0009214343035712503,-0.0004810472181803993,117.56741808764792,0.0010394458148056279
53,2006-05-10 12:00:00,2006_00362,743592.0888,-1572256.35164,-19.68839,74.04443,85.813284375,40.4895425,14.444605,8.927215,0.001422693823475012,,-0.0006678221966429832,0.0005293990321757357,308.40472528986436,0.0008522029227816958
54,2006-05-11 12:00:00,2006_00362,743520.37262,-1572239.67185,-19.69028,74.04485,84.572790625,40.3249425,14.296015,8.9047525,0.0017355802223275503,-0.004415814235496128,-0.00011923453493007717,-0.00032328266862776143,200.2452047194526,0.0003445701062992534
56,2006-05-08 12:00:00,2006_00367,707550.08413,-742458.97652,-1.3792,80.55292,85.30458875,36.1843975,12.825585,8.7880275,0.32551420147872767,,0.06720199820916968,-0.2075844769503408,162.06150822048124,0.2181912547148758
58,2006-05-08 12:00:00,2006_00372,332223.19541,-653731.1522,-18.06054,83.23819,41.420095,26.6804425,11.8909975,4.5231025,-0.290811620306958,-0.2951124571773479,0.01903127404178457,-0.035028261264745064,151.4842366449489,0.03986437606290537
60,2006-05-09 12:00:00,2006_00386,754835.14398,-1988408.62746,-24.21235,70.5478,1769.037974375,319.33343,131.676875,46.6802325,0.00029037854870426875,0.012176596099103057,0.005412821224681187,-0.0017814557669025757,108.21729512689234,0.005698439984749298
61,2006-05-10 12:00:00,2006_00386,755326.99385,-1988386.5477,-24.19975,70.54642,1778.845728125,329.3865575,133.0581025,47.4982075,-7.351497564870698e-05,-0.01312196176608224,0.0012647834670016745,-0.0013269830513493019,136.37477264985682,0.0018331833615241766
62,2006-05-11 12:00:00,2006_00386,755469.86285,-1988454.92097,-24.19681,70.54539,1707.781940625,346.15386,133.10201,46.63186,-0.0013292227596833758,0.0013087898460859056,-0.006568269100971215,0.002936688920908569,294.08953344353165,0.007194880179750066
63,2006-05-12 12:00:00,2006_00386,754849.24748,-1988419.28493,-24.2121,70.54767,1768.706215,319.81184,131.66855,46.67487,-4.174860839682368e-05,-0.002315137496411111,0.00017764176025298576,5.1704839092356976e-05,73.7717074437632,0.0001850134734859756
64,2006-05-13 12:00:00,2006_00386,754862.01108,-1988409.66121,-24.21169,70.54771,1769.7033225,320.04536,131.746115,46.7199175,-0.00028823679544852637,0.014120515780313963,0.0038828232240300255,0.0018042394270392286,65.07702385273763,0.004281541322835711
65,2006-05-14 12:00:00,2006_00386,755120.32029,-1988144.85754,-24.20265,70.54911,1753.038208125,338.230275,133.61551,47.54577,-0.0003889155977185753,-0.006090389168125088,0.0056241686617982,0.0013497744476143674,76.50451746738224,0.005783871039000232
66,2006-05-15 12:00:00,2006_00386,755533.17867,-1987863.30028,-24.18955,70.55015,1738.545095,354.206455,135.872885,48.3842875,-0.000520294649160122,-0.02715582513803437,-0.007723003890254107,-0.008719438558178768,221.5320380602778,0.011647892421323898
67,2006-05-16 12:00:00,2006_00386,755177.09465,-1988804.57636,-24.20753,70.54339,1748.00828,327.06775,131.0658625,46.20068,0.0002894332216437374,0.003105143108331738,-0.00960315404313771,0.015919438411134544,328.9001719668019,0.01859164024238147
68,2006-05-17 12:00:00,2006_00386,753913.16015,-1987813.25089,-24.22989,70.55574,1711.045095,327.727425,131.6283675,47.3118875,9.786526867371287e-05,-0.00035759127078675715,0.007479423963721901,-0.01018134827618414,143.69824507467683,0.012633354089475019
69,2006-05-18 12:00:00,2006_00386,754829.33232,-1988406.58754,-24.21247,70.54784,1768.831730625,319.68809,131.6587725,46.681845,0.00036220594048491065,0.009977496288929077,0.002532359368159235,-0.001804875623381625,125.47841887068682,0.0031097298894568076
71,2006-05-09 12:00:00,2006_00387,592407.17247,-1136490.11347,-17.46876,78.20908,776.405063125,125.4495625,40.1016475,28.3022125,,0.03088326000567096,0.005289106493717365,-0.01878004525685433,164.27095498752277,0.019510631649215772
72,2006-05-10 12:00:00,2006_00387,593562.4186,-1137717.73454,-17.44836,78.19426,845.98284375,142.32685,45.668575,27.8081125,,0.07470137821054675,0.0030826088091973993,-0.00421920702075127,143.8476386136373,0.005225340654397397
73,2006-05-11 12:00:00,2006_00387,593967.16881,-1137917.73933,-17.43646,78.19093,878.88134375,142.09405,46.777545,28.027155,0.004507916246158646,0.1333608079200616,0.0029151254798990356,-0.004358879361631927,146.22623930470877,0.005243833125950647
74,2006-05-12 12:00:00,2006_00387,594364.71649,-1138135.05411,-17.42524,78.18749,898.757768125,145.33357,47.3418475,28.1134375,0.004507916246158646,0.1633415265448558,0.010897160303597584,-0.019476393819048997,150.77272271048008,0.022317661590699707
76,2006-05-09 12:00:00,2006_00391,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
77,2006-05-10 12:00:00,2006_00391,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
78,2006-05-11 12:00:00,2006_00391,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
