,matlab_index,year_doy,satellite,filename,manual time,SOIT time
0,1,2013090,aqua,1_NE_Greenland.2013090.aqua.250m.tif,2013-03-31 11:50:00,2013-03-31 11:49:55
1,2,2013090,terra,2_NE_Greenland.2013090.terra.250m.tif,2013-03-31 13:05:00,2013-03-31 13:06:59
2,3,2013091,aqua,3_NE_Greenland.2013091.aqua.250m.tif,2013-04-01 12:30:00,2013-04-01 12:32:48
3,4,2013091,terra,4_NE_Greenland.2013091.terra.250m.tif,2013-04-01 13:50:00,2013-04-01 13:49:49
4,5,2013092,aqua,5_NE_Greenland.2013092.aqua.250m.tif,2013-04-02 13:15:00,2013-04-02 11:37:44
5,6,2013092,terra,6_NE_Greenland.2013092.terra.250m.tif,2013-04-02 14:30:00,2013-04-02 12:54:44
6,7,2013093,aqua,7_NE_Greenland.2013093.aqua.250m.tif,2013-04-03 12:20:00,2013-04-03 12:20:35
7,8,2013093,terra,8_NE_Greenland.2013093.terra.250m.tif,2013-04-03 13:35:00,2013-04-03 13:37:37
8,9,2013094,aqua,9_NE_Greenland.2013094.aqua.250m.tif,2013-04-04 13:00:00,2013-04-04 11:25:34
9,10,2013094,terra,10_NE_Greenland.2013094.terra.250m.tif,2013-04-04 14:20:00,2013-04-04 14:20:23
10,11,2013095,aqua,11_NE_Greenland.2013095.aqua.250m.tif,2013-04-05 12:05:00,2013-04-05 12:08:23
11,12,2013095,terra,12_NE_Greenland.2013095.terra.250m.tif,2013-04-05 13:25:00,2013-04-05 13:25:23
12,13,2013096,aqua,13_NE_Greenland.2013096.aqua.250m.tif,2013-04-06 12:50:00,2013-04-06 11:13:24
13,14,2013096,terra,14_NE_Greenland.2013096.terra.250m.tif,2013-04-06 14:05:00,2013-04-06 14:08:11
14,15,2013097,aqua,15_NE_Greenland.2013097.aqua.250m.tif,2013-04-07 11:55:00,2013-04-07 11:56:11
15,16,2013097,terra,16_NE_Greenland.2013097.terra.250m.tif,2013-04-07 13:15:00,2013-04-07 13:13:09
16,17,2013098,aqua,17_NE_Greenland.2013098.aqua.250m.tif,2013-04-08 12:40:00,2013-04-08 12:39:04
17,18,2013098,terra,18_NE_Greenland.2013098.terra.250m.tif,2013-04-08 13:55:00,2013-04-08 13:55:58
18,19,2013099,aqua,19_NE_Greenland.2013099.aqua.250m.tif,2013-04-09 11:45:00,2013-04-09 11:43:59
19,20,2013099,terra,20_NE_Greenland.2013099.terra.250m.tif,2013-04-09 13:00:00,2013-04-09 13:00:54
20,21,2013100,aqua,21_NE_Greenland.2013100.aqua.250m.tif,2013-04-10 12:25:00,2013-04-10 12:26:50
21,22,2013100,terra,22_NE_Greenland.2013100.terra.250m.tif,2013-04-10 13:45:00,2013-04-10 13:43:45
22,23,2013101,aqua,23_NE_Greenland.2013101.aqua.250m.tif,2013-04-11 11:30:00,2013-04-11 11:31:47
23,24,2013101,terra,24_NE_Greenland.2013101.terra.250m.tif,2013-04-11 14:25:00,2013-04-11 12:48:38
24,25,2013102,aqua,25_NE_Greenland.2013102.aqua.250m.tif,2013-04-12 12:15:00,2013-04-12 12:14:36
25,26,2013102,terra,26_NE_Greenland.2013102.terra.250m.tif,2013-04-12 13:30:00,2013-04-12 13:31:31
26,27,2013103,aqua,27_NE_Greenland.2013103.aqua.250m.tif,2013-04-13 12:55:00,2013-04-13 11:19:35
27,28,2013103,terra,28_NE_Greenland.2013103.terra.250m.tif,2013-04-13 14:15:00,2013-04-13 14:14:18
28,29,2013104,aqua,29_NE_Greenland.2013104.aqua.250m.tif,2013-04-14 12:00:00,2013-04-14 12:02:22
29,30,2013104,terra,30_NE_Greenland.2013104.terra.250m.tif,2013-04-14 13:20:00,2013-04-14 13:19:16
30,31,2013105,aqua,31_NE_Greenland.2013105.aqua.250m.tif,2013-04-15 12:45:00,2013-04-15 12:45:15
31,32,2013105,terra,32_NE_Greenland.2013105.terra.250m.tif,2013-04-15 14:00:00,2013-04-15 14:02:04
32,33,2013106,aqua,33_NE_Greenland.2013106.aqua.250m.tif,2013-04-16 11:50:00,2013-04-16 11:50:08
33,34,2013106,terra,34_NE_Greenland.2013106.terra.250m.tif,2013-04-16 13:05:00,2013-04-16 13:07:01
34,35,2013107,aqua,35_NE_Greenland.2013107.aqua.250m.tif,2013-04-17 12:30:00,2013-04-17 12:32:59
35,36,2013107,terra,36_NE_Greenland.2013107.terra.250m.tif,2013-04-17 13:50:00,2013-04-17 13:49:51
36,37,2013108,aqua,37_NE_Greenland.2013108.aqua.250m.tif,2013-04-18 13:15:00,2013-04-18 11:37:55
37,38,2013108,terra,38_NE_Greenland.2013108.terra.250m.tif,2013-04-18 14:30:00,2013-04-18 12:54:44
38,39,2013109,aqua,39_NE_Greenland.2013109.aqua.250m.tif,2013-04-19 12:20:00,2013-04-19 12:20:45
39,40,2013109,terra,40_NE_Greenland.2013109.terra.250m.tif,2013-04-19 13:35:00,2013-04-19 13:37:36
40,41,2013110,aqua,41_NE_Greenland.2013110.aqua.250m.tif,2013-04-20 13:00:00,2013-04-20 11:25:42
41,42,2013110,terra,42_NE_Greenland.2013110.terra.250m.tif,2013-04-20 14:20:00,2013-04-20 14:20:22
42,43,2013111,aqua,43_NE_Greenland.2013111.aqua.250m.tif,2013-04-21 12:05:00,2013-04-21 12:08:30
43,44,2013111,terra,44_NE_Greenland.2013111.terra.250m.tif,2013-04-21 13:25:00,2013-04-21 13:25:21
44,45,2013112,aqua,45_NE_Greenland.2013112.aqua.250m.tif,2013-04-22 12:50:00,2013-04-22 11:13:30
45,46,2013112,terra,46_NE_Greenland.2013112.terra.250m.tif,2013-04-22 14:05:00,2013-04-22 14:08:08
46,47,2013113,aqua,47_NE_Greenland.2013113.aqua.250m.tif,2013-04-23 11:55:00,2013-04-23 11:56:16
47,48,2013113,terra,48_NE_Greenland.2013113.terra.250m.tif,2013-04-23 13:15:00,2013-04-23 13:13:06
48,49,2013114,aqua,49_NE_Greenland.2013114.aqua.250m.tif,2013-04-24 12:40:00,2013-04-24 12:39:09
49,50,2013114,terra,50_NE_Greenland.2013114.terra.250m.tif,2013-04-24 13:55:00,2013-04-24 13:55:54
50,51,2013115,aqua,51_NE_Greenland.2013115.aqua.250m.tif,2013-04-25 11:45:00,2013-04-25 11:44:02
51,52,2013115,terra,52_NE_Greenland.2013115.terra.250m.tif,2013-04-25 13:00:00,2013-04-25 13:00:49
52,53,2013116,aqua,53_NE_Greenland.2013116.aqua.250m.tif,2013-04-26 12:25:00,2013-04-26 12:26:53
53,54,2013116,terra,54_NE_Greenland.2013116.terra.250m.tif,2013-04-26 13:45:00,2013-04-26 13:43:40
54,55,2013117,aqua,55_NE_Greenland.2013117.aqua.250m.tif,2013-04-27 11:30:00,2013-04-27 11:31:49
55,56,2013117,terra,56_NE_Greenland.2013117.terra.250m.tif,2013-04-27 14:25:00,2013-04-27 12:48:32
56,57,2013118,aqua,57_NE_Greenland.2013118.aqua.250m.tif,2013-04-28 12:15:00,2013-04-28 12:14:37
57,58,2013118,terra,58_NE_Greenland.2013118.terra.250m.tif,2013-04-28 13:30:00,2013-04-28 13:31:25
58,59,2013119,aqua,59_NE_Greenland.2013119.aqua.250m.tif,2013-04-29 12:55:00,2013-04-29 11:19:35
59,60,2013119,terra,60_NE_Greenland.2013119.terra.250m.tif,2013-04-29 14:15:00,2013-04-29 14:14:11
60,61,2013120,aqua,61_NE_Greenland.2013120.aqua.250m.tif,2013-04-30 12:00:00,2013-04-30 12:02:22
61,62,2013120,terra,62_NE_Greenland.2013120.terra.250m.tif,2013-04-30 13:20:00,2013-04-30 13:19:09
62,63,2013121,aqua,63_NE_Greenland.2013121.aqua.250m.tif,2013-05-01 12:45:00,2013-05-01 12:45:14
63,64,2013121,terra,64_NE_Greenland.2013121.terra.250m.tif,2013-05-01 14:00:00,2013-05-01 14:01:56
64,65,2013122,aqua,65_NE_Greenland.2013122.aqua.250m.tif,2013-05-02 11:50:00,2013-05-02 11:50:06
65,66,2013122,terra,66_NE_Greenland.2013122.terra.250m.tif,2013-05-02 13:05:00,2013-05-02 13:06:52
66,67,2013123,aqua,67_NE_Greenland.2013123.aqua.250m.tif,2013-05-03 12:30:00,2013-05-03 12:32:56
67,68,2013123,terra,68_NE_Greenland.2013123.terra.250m.tif,2013-05-03 13:50:00,2013-05-03 13:49:41
68,69,2013124,aqua,69_NE_Greenland.2013124.aqua.250m.tif,2013-05-04 13:15:00,2013-05-04 11:37:50
69,70,2013124,terra,70_NE_Greenland.2013124.terra.250m.tif,2013-05-04 14:30:00,2013-05-04 12:54:34
70,71,2013125,aqua,71_NE_Greenland.2013125.aqua.250m.tif,2013-05-05 12:20:00,2013-05-05 12:20:38
