,datetime,floe_id,longitude,latitude,x_stere,y_stere,area,perimeter,axis_major_length,axis_minor_length,solidity,circularity,nsidc_sic,lr_probability,zeta,zeta_est,u,v,bearing,speed,area_km2,perimeter_km,axis_major_length_km,axis_minor_length_km
0,2008-04-02 12:00:00,2008_00012,-0.07024,80.01782,765549.78144,-767421.69144,6142.85812,368.34325,132.37162,61.00709,0.89512,0.56917,1.0,0.77372,-0.016920396782774426,,-0.03933258211350289,-0.2071317471820395,190.75197336929648,0.210833139488079,383.93,92.09,33.09,15.25
1,2008-04-03 12:00:00,2008_00012,-0.24401,79.85375,775782.91365,-782491.69645,6145.95378,369.58151,132.99076,60.85231,0.89449,0.56555,1.0,0.77991,-0.003297992251342803,-0.0005646746284906868,-0.044495687690078625,-0.21545452995450895,191.66868306435197,0.22000118340802488,384.12,92.4,33.25,15.21
2,2008-04-04 12:00:00,2008_00012,-0.44317,79.68319,786159.00779,-798417.92078,6145.41558,371.57662,133.8987,60.58052,0.89151,0.55931,1.0,0.76569,0.01032441228008882,,-0.04043600724797715,-0.19203983939764052,191.89053426911596,0.19625078496156395,384.09,92.89,33.47,15.15
3,2008-04-05 12:00:00,2008_00012,-0.61789,79.5312,795310.94323,-812692.03419,6175.25161,368.23355,134.45097,60.64774,0.89109,0.57287,1.0,0.80543,,,-0.025920544748017943,-0.17146577633448018,188.59633596360266,0.17341391839763032,385.95,92.06,33.61,15.16
4,2008-04-06 12:00:00,2008_00012,-0.73072,79.39551,804072.0271,-824846.56323,6214.99355,362.86581,134.29613,61.00903,0.89643,0.59352,1.0,0.89627,,,,,,,388.44,90.72,33.57,15.25
5,2008-04-01 12:00:00,2008_00020,-2.85536,79.35904,775610.82767,-857051.07244,3885.82939,292.12925,112.04634,47.1,0.89497,0.57237,1.0,0.77488,-0.053003706466237574,-0.001029947004020885,-0.005024323823445073,-0.1981877126693826,181.45221365599366,0.198251389107377,242.86,73.03,28.01,11.78
6,2008-04-02 12:00:00,2008_00020,-2.87687,79.20229,786778.78571,-870038.62857,3889.0,290.9,112.15714,47.08571,0.89487,0.57743,1.0,0.83714,-0.0934136576821482,-0.0012014156576864886,-0.03479343788119488,-0.202258558074972,189.76074757832657,0.20522940246017235,243.06,72.72,28.04,11.77
7,2008-04-03 12:00:00,2008_00020,-3.02145,79.04231,796270.14182,-885016.33243,4018.42674,307.41536,113.75676,48.46586,0.87979,0.53393,1.0,0.69939,-0.09122956555440233,,,,,,251.15,76.85,28.44,12.12
8,2008-04-01 12:00:00,2008_00023,-5.79398,77.1405,884118.3711,-1083807.99552,3135.97509,232.49039,72.68121,56.93445,0.919,0.72941,0.95906,0.98616,-0.2656405300937076,-0.002239491321799446,-0.06214692736640489,-0.14792772401730148,202.78809591131795,0.1604520243375699,196.0,58.12,18.17,14.23
9,2008-04-02 12:00:00,2008_00023,-6.01198,77.02385,888036.62065,-1097105.80029,3239.5213,239.02354,73.16188,58.74758,0.91328,0.71252,0.99809,0.98229,-0.21861583717600863,-0.0050257820063461835,-0.06277985776949029,-0.10416436504630021,211.07736798815125,0.12162041558495153,202.47,59.76,18.29,14.69
10,2008-04-03 12:00:00,2008_00023,-6.23082,76.9417,889482.80982,-1107513.81081,2899.01138,246.04523,73.49317,54.89104,0.85836,0.60253,1.0,0.82271,,,,,,,181.19,61.51,18.37,13.72
11,2008-04-01 12:00:00,2008_00025,-21.9343,71.9424,772537.97556,-1814197.32706,3001.12186,243.67563,82.04634,50.65122,0.87284,0.63515,0.96976,0.97005,-0.0002950217786046439,4.638731543001115e-05,-6.10391904005195e-05,-8.171817979276093e-06,262.3746846074989,6.158377524833381e-05,187.57,60.92,20.51,12.66
12,2008-04-02 12:00:00,2008_00025,-21.93441,71.94239,772533.4,-1814200.04286,2998.28571,244.7,82.2,50.62857,0.86983,0.62943,0.98,0.96843,0.00021478606541963072,0.0001209316488910425,-0.0009260749020153166,-0.0002810538064942863,253.1175185148689,0.0009677840494075143,187.39,61.18,20.55,12.66
13,2008-04-03 12:00:00,2008_00025,-21.93673,71.94212,772469.2973,-1814253.73243,2950.43385,239.71607,81.61366,50.01821,0.88236,0.64568,0.98,0.9798,-0.0039408151967137255,-0.00048263811655347116,-0.00021957993134778543,0.00143116814857698,351.2772959353732,0.0014479149200667693,184.4,59.93,20.4,12.5
14,2008-04-04 12:00:00,2008_00025,-21.93731,71.94327,772403.4013,-1814147.39481,2946.19481,240.7,81.7,50.0,0.88678,0.639,0.98,0.9733,-0.0017978174720580024,,,,,,184.14,60.18,20.42,12.5
15,2008-04-01 12:00:00,2008_00026,-1.56278,80.19274,732177.15673,-773247.94014,2805.03772,262.61295,101.33779,37.18121,0.88379,0.51172,0.99969,0.47127,-0.006336086909825638,-8.620758762739879e-05,-0.015520106769010555,-0.2093186110924183,184.24048490997978,0.2098931982313399,175.31,65.65,25.33,9.3
16,2008-04-02 12:00:00,2008_00026,-1.63373,80.02699,743638.07143,-787302.02857,2939.71429,267.11429,103.9,37.71429,0.89689,0.51757,1.0,0.629,-0.007003411844318714,0.00037804914551815014,-0.0005672938176484593,-0.16532127404613,180.19660756976282,0.16532224736710774,183.73,66.78,25.98,9.43
17,2008-04-03 12:00:00,2008_00026,-1.63627,79.89609,753410.52674,-797719.67055,2624.16927,243.0643,94.30939,36.62731,0.92075,0.55841,1.0,0.26308,,,,,,,164.01,60.77,23.58,9.16
18,2008-04-02 12:00:00,2008_00028,-0.73635,79.69841,780902.38887,-801236.35954,2537.80378,253.24032,104.38011,32.6267,0.9137,0.4976,1.0,0.50726,-0.03155872425761807,,0.005749029883378248,-0.17678019195396236,178.13735297091898,0.17687364872100012,158.61,63.31,26.1,8.16
19,2008-04-03 12:00:00,2008_00028,-0.7113,79.55858,791918.63163,-811827.78773,2476.63048,247.9969,102.6323,32.0441,0.92402,0.50634,1.0,0.54513,-0.030415356859696038,,-0.0493791781167079,-0.2248706560855594,192.38496867826524,0.23022839790050117,154.79,62.0,25.66,8.01
20,2008-04-04 12:00:00,2008_00028,-0.9195,79.38055,802431.30301,-828714.61115,2489.17419,248.17247,102.11835,32.38165,0.92577,0.50795,1.0,0.58807,-0.030324653041374713,,-0.05304085552179112,-0.2290064756278118,193.04050327131745,0.23506870960201207,155.57,62.04,25.53,8.1
21,2008-04-05 12:00:00,2008_00028,-1.1468,79.19939,812902.73527,-846116.98534,2507.75484,248.79183,101.70545,32.79455,0.92682,0.50899,1.0,0.63143,-0.2087110646900004,,-0.05109015819379639,-0.19882544030951024,194.41093826200643,0.20528458290514112,156.73,62.2,25.43,8.2
22,2008-04-06 12:00:00,2008_00028,-1.35949,79.04206,821621.05279,-861562.93925,2507.30298,243.6394,101.89725,32.40275,0.93546,0.53133,1.0,0.75759,,,,,,,156.71,60.91,25.47,8.1
23,2008-04-01 12:00:00,2008_00032,-7.32544,77.3139,843215.4494,-1091995.77922,2039.78078,186.9906,69.60313,38.99374,0.92536,0.733,1.0,0.98897,0.0070520568636793755,-3.1674956254690024e-06,,,,,127.49,46.75,17.4,9.75
24,2008-04-02 12:00:00,2008_00032,-7.54296,77.23547,844294.42857,-1102014.28571,2035.42857,187.25714,70.27143,38.52857,0.92748,0.72957,1.0,0.989,0.0038504841282871456,,,,,,127.21,46.81,17.57,9.63
25,2008-04-01 12:00:00,2008_00037,-6.49046,77.45882,849149.13345,-1067163.42683,1735.93523,164.55616,51.77495,43.7906,0.95026,0.80594,0.99937,0.997,-0.0010058740442854168,-0.00016011833023333238,,,,,108.5,41.14,12.94,10.95
26,2008-04-02 12:00:00,2008_00037,-6.72357,77.38254,849981.45714,-1077172.55714,1735.57143,164.97143,51.0,44.21429,0.94731,0.80157,1.0,0.99686,0.00874971728008648,,,,,,108.47,41.24,12.75,11.05
27,2008-04-01 12:00:00,2008_00039,-6.42446,77.65424,837032.46085,-1049453.3047,1797.36512,175.62819,63.56555,36.93737,0.92393,0.7319,0.95,0.98703,0.026197848693126382,0.0013890311682584857,,,,,112.34,43.91,15.89,9.23
28,2008-04-02 12:00:00,2008_00039,-6.676,77.579,837526.77143,-1059580.61429,1668.14286,172.11429,62.65714,34.77143,0.9188,0.70757,1.0,0.98243,0.029203952705625993,,,,,,104.26,43.03,15.66,8.69
