,datetime,floe_id,longitude,latitude,x_stere,y_stere,area,perimeter,axis_major_length,axis_minor_length,solidity,circularity,nsidc_sic,lr_probability,zeta,zeta_est,u,v,bearing,speed,area_km2,perimeter_km,axis_major_length_km,axis_minor_length_km
3245,2014-05-20 12:00:00,2014_04122,-7.01886,78.29233,783108.74922,-1003013.24175,474.09602,82.4192,30.92881,19.7904,0.95977,0.87678,0.95968,0.99126,0.042059456259483,-0.0009677211318663239,0.0031180136236617015,-0.12889169616100044,178.61423047383317,0.12892940451354373,29.63,20.6,7.73,4.95
3246,2014-05-21 12:00:00,2014_04122,-7.00692,78.19053,790174.36012,-1011625.18782,494.16661,86.11946,32.02501,19.97499,0.9444,0.83736,0.95528,0.98672,,-0.001327462277524613,0.0032212601723717663,-0.1032128053972424,178.21238535872823,0.10326306074810651,30.89,21.53,8.01,4.99
3247,2014-05-22 12:00:00,2014_04122,-6.99448,78.10907,795883.07528,-1018481.67223,491.07094,86.68699,32.48936,19.51064,0.93197,0.82137,0.95012,0.97331,,,,,,,30.69,21.67,8.12,4.88
3248,2014-05-19 12:00:00,2014_04124,-6.11199,78.67292,772751.37662,-958090.36623,432.12987,79.85195,28.5,19.70519,0.94716,0.85112,0.94,0.99897,0.1042847291545588,0.000455133636608804,-0.06516635496064455,-0.14575431613996112,204.08928756315873,0.15965893176482315,27.01,19.96,7.12,4.93
3249,2014-05-20 12:00:00,2014_04124,-6.37133,78.55761,776274.84132,-971427.31871,428.93599,78.76799,28.3064,19.6936,0.94931,0.86954,0.90128,0.99032,0.12343161829518828,0.0021642207884135334,0.031237711334136338,-0.138011281222914,167.24646671438734,0.14150232632075377,26.81,19.69,7.08,4.92
3250,2014-05-21 12:00:00,2014_04124,-6.24822,78.44854,785827.17792,-979057.72338,444.18182,79.86104,28.92597,20.08312,0.94916,0.8744,0.95,0.99961,-0.048801663636038814,-0.0017879046094012206,0.017440590426381748,-0.1258193760974588,172.1081720808075,0.12702239800906998,27.76,19.97,7.23,5.02
3251,2014-05-22 12:00:00,2014_04124,-6.18001,78.3492,793806.88065,-986592.25434,452.50711,81.35775,29.97888,19.78826,0.95134,0.85993,0.95,0.99016,,0.0041818694366686756,0.06449931601979862,-0.13764098847481995,154.89195607503848,0.15200395874893316,28.28,20.34,7.49,4.95
3252,2014-05-23 12:00:00,2014_04124,-5.9302,78.24043,805603.62798,-992364.27064,421.0,79.62187,28.59832,19.50168,0.92088,0.83453,0.82798,0.9435,,,,,,,26.31,19.91,7.15,4.88
3253,2014-05-19 12:00:00,2014_04130,-11.83633,79.88905,600661.03766,-919176.9013,388.02597,71.9,22.79221,22.00779,0.97,0.94205,0.97,1.0,,-0.004897491927898278,-0.009991669543880432,-0.0025553009915425177,255.654475868928,0.010313245048552177,24.25,17.98,5.7,5.5
3254,2014-05-20 12:00:00,2014_04130,-11.88127,79.88694,600059.14902,-919833.95973,372.28905,70.19163,22.578,21.27291,0.96997,0.94902,0.98424,0.99953,,0.01850422597393232,0.012351116958391535,0.010345575224251056,50.04969624730853,0.0161115181420158,23.27,17.55,5.64,5.32
3255,2014-05-21 12:00:00,2014_04130,-11.82559,79.89512,600464.53815,-918502.26098,356.7242,68.3841,22.0257,20.82103,0.97002,0.95856,0.9993,0.99902,-0.7034080468579619,,0.0006814876884350951,0.060969712955316016,0.6403957057898992,0.060973521493539455,22.3,17.1,5.51,5.21
3256,2014-05-22 12:00:00,2014_04130,-11.82251,79.94345,597631.34893,-914060.85967,382.36629,72.59673,22.87888,21.77653,0.96014,0.91213,1.0,0.99998,-0.7034080468579619,,,,,,23.9,18.15,5.72,5.44
3257,2014-05-19 12:00:00,2014_04131,-19.02771,72.70493,826521.8,-1696702.64805,386.0,71.10519,24.71558,20.18701,0.97702,0.95882,0.85,1.0,0.20692607947531408,-0.0232418518920383,-0.09554325427993487,0.043047644709783096,294.254260687587,0.1047931923049394,24.12,17.78,6.18,5.05
3258,2014-05-20 12:00:00,2014_04131,-19.27885,72.73836,817471.73826,-1696974.09865,377.28805,72.73919,24.97119,19.82881,0.95307,0.89727,0.86936,1.0,0.18760925760563568,0.010823146324522765,-0.10505588941740182,0.01435671025422582,277.7817139051814,0.10603233011966282,23.58,18.18,6.24,4.96
3259,2014-05-21 12:00:00,2014_04131,-19.5551,72.74935,808755.94026,-1699795.85844,400.61039,78.4,25.77403,20.98701,0.92977,0.81822,0.82,0.999,0.19001127775532994,,,,,,25.04,19.6,6.44,5.25
3260,2014-05-19 12:00:00,2014_04136,-4.81329,78.93656,775666.26104,-918308.77273,363.12987,71.41039,23.5,20.00519,0.94559,0.8961,0.85,1.0,-0.5716631367618087,-0.011932305611787458,-0.10287519756204061,-0.23181841959136515,203.93044703738087,0.2536199635976378,22.7,17.85,5.88,5.0
3261,2014-05-20 12:00:00,2014_04136,-5.22983,78.75308,781800.39104,-939345.44815,352.19203,70.7096,23.5,19.6064,0.94341,0.88619,0.86936,0.99903,-0.27677118603120954,-0.0013649551156822465,-0.04694040873723426,-0.1457229891268978,197.85483047804365,0.15309667381264883,22.01,17.68,5.88,4.9
