,matlab_index,year_doy,satellite,filename,manual time,SOIT time
0,1,2014090,aqua,1_NE_Greenland.2014090.aqua.250m.tif,2014-03-31 12:55:00,2014-03-31 11:19:26
1,2,2014090,terra,2_NE_Greenland.2014090.terra.250m.tif,2014-03-31 14:15:00,2014-03-31 14:14:07
2,3,2014091,aqua,3_NE_Greenland.2014091.aqua.250m.tif,2014-04-01 12:00:00,2014-04-01 12:02:13
3,4,2014091,terra,4_NE_Greenland.2014091.terra.250m.tif,2014-04-01 13:20:00,2014-04-01 13:19:07
4,5,2014092,aqua,5_NE_Greenland.2014092.aqua.250m.tif,2014-04-02 12:45:00,2014-04-02 12:45:06
5,6,2014092,terra,6_NE_Greenland.2014092.terra.250m.tif,2014-04-02 14:00:00,2014-04-02 14:01:56
6,7,2014093,aqua,7_NE_Greenland.2014093.aqua.250m.tif,2014-04-03 11:50:00,2014-04-03 11:49:59
7,8,2014093,terra,8_NE_Greenland.2014093.terra.250m.tif,2014-04-03 13:05:00,2014-04-03 13:06:53
8,9,2014094,aqua,9_NE_Greenland.2014094.aqua.250m.tif,2014-04-04 12:30:00,2014-04-04 12:32:49
9,10,2014094,terra,10_NE_Greenland.2014094.terra.250m.tif,2014-04-04 13:50:00,2014-04-04 13:49:43
10,11,2014095,aqua,11_NE_Greenland.2014095.aqua.250m.tif,2014-04-05 13:15:00,2014-04-05 11:37:44
11,12,2014095,terra,12_NE_Greenland.2014095.terra.250m.tif,2014-04-05 14:30:00,2014-04-05 12:54:38
12,13,2014096,aqua,13_NE_Greenland.2014096.aqua.250m.tif,2014-04-06 12:20:00,2014-04-06 12:20:33
13,14,2014096,terra,14_NE_Greenland.2014096.terra.250m.tif,2014-04-06 13:35:00,2014-04-06 13:37:30
14,15,2014097,aqua,15_NE_Greenland.2014097.aqua.250m.tif,2014-04-07 13:00:00,2014-04-07 11:25:29
15,16,2014097,terra,16_NE_Greenland.2014097.terra.250m.tif,2014-04-07 14:20:00,2014-04-07 14:20:16
16,17,2014098,aqua,17_NE_Greenland.2014098.aqua.250m.tif,2014-04-08 12:05:00,2014-04-08 12:08:16
17,18,2014098,terra,18_NE_Greenland.2014098.terra.250m.tif,2014-04-08 13:25:00,2014-04-08 13:25:16
18,19,2014099,aqua,19_NE_Greenland.2014099.aqua.250m.tif,2014-04-09 12:50:00,2014-04-09 11:13:14
19,20,2014099,terra,20_NE_Greenland.2014099.terra.250m.tif,2014-04-09 14:05:00,2014-04-09 14:08:03
20,21,2014100,aqua,21_NE_Greenland.2014100.aqua.250m.tif,2014-04-10 11:55:00,2014-04-10 11:55:59
21,22,2014100,terra,22_NE_Greenland.2014100.terra.250m.tif,2014-04-10 13:15:00,2014-04-10 13:13:00
22,23,2014101,aqua,23_NE_Greenland.2014101.aqua.250m.tif,2014-04-11 12:40:00,2014-04-11 12:38:53
23,24,2014101,terra,24_NE_Greenland.2014101.terra.250m.tif,2014-04-11 13:55:00,2014-04-11 13:55:49
24,25,2014102,aqua,25_NE_Greenland.2014102.aqua.250m.tif,2014-04-12 11:45:00,2014-04-12 11:43:48
25,26,2014102,terra,26_NE_Greenland.2014102.terra.250m.tif,2014-04-12 13:00:00,2014-04-12 13:00:44
26,27,2014103,aqua,27_NE_Greenland.2014103.aqua.250m.tif,2014-04-13 12:25:00,2014-04-13 12:26:38
27,28,2014103,terra,28_NE_Greenland.2014103.terra.250m.tif,2014-04-13 13:45:00,2014-04-13 13:43:35
28,29,2014104,aqua,29_NE_Greenland.2014104.aqua.250m.tif,2014-04-14 11:30:00,2014-04-14 11:31:34
29,30,2014104,terra,30_NE_Greenland.2014104.terra.250m.tif,2014-04-14 14:25:00,2014-04-14 12:48:28
30,31,2014105,aqua,31_NE_Greenland.2014105.aqua.250m.tif,2014-04-15 12:15:00,2014-04-15 12:14:22
31,32,2014105,terra,32_NE_Greenland.2014105.terra.250m.tif,2014-04-15 13:30:00,2014-04-15 13:31:20
32,33,2014106,aqua,33_NE_Greenland.2014106.aqua.250m.tif,2014-04-16 12:55:00,2014-04-16 11:19:20
33,34,2014106,terra,34_NE_Greenland.2014106.terra.250m.tif,2014-04-16 14:15:00,2014-04-16 14:14:06
34,35,2014107,aqua,35_NE_Greenland.2014107.aqua.250m.tif,2014-04-17 12:00:00,2014-04-17 12:02:07
35,36,2014107,terra,36_NE_Greenland.2014107.terra.250m.tif,2014-04-17 13:20:00,2014-04-17 13:19:04
36,37,2014108,aqua,37_NE_Greenland.2014108.aqua.250m.tif,2014-04-18 12:45:00,2014-04-18 12:44:59
37,38,2014108,terra,38_NE_Greenland.2014108.terra.250m.tif,2014-04-18 14:00:00,2014-04-18 14:01:51
38,39,2014109,aqua,39_NE_Greenland.2014109.aqua.250m.tif,2014-04-19 11:50:00,2014-04-19 11:49:51
39,40,2014109,terra,40_NE_Greenland.2014109.terra.250m.tif,2014-04-19 13:05:00,2014-04-19 13:06:47
40,41,2014110,aqua,41_NE_Greenland.2014110.aqua.250m.tif,2014-04-20 12:30:00,2014-04-20 12:32:41
41,42,2014110,terra,42_NE_Greenland.2014110.terra.250m.tif,2014-04-20 13:50:00,2014-04-20 13:49:36
42,43,2014111,aqua,43_NE_Greenland.2014111.aqua.250m.tif,2014-04-21 13:15:00,2014-04-21 11:37:34
43,44,2014111,terra,44_NE_Greenland.2014111.terra.250m.tif,2014-04-21 14:30:00,2014-04-21 12:54:29
