month,min_beta_mle,max_beta_mle,min_beta_lsq,max_beta_lsq,beta_mle,beta_lsq,a_lsq
4,0.597035175879397,0.7413065326633166,0.6046971092715404,0.803267810707136,0.6716582914572865,0.7044197021743899,2.750016361399849
5,0.5920603015075377,0.7363316582914573,0.6427945718885146,0.8200600419431792,0.6617085427135678,0.7315178163701143,3.197102139070573
6,0.4428140703517588,0.5821105527638191,0.5081595316422728,0.6537828726162667,0.5074874371859296,0.5786706449623997,2.264356003719206
