R_ice (km),u_along (m/s),u_across (m/s)
1,0.016849524558597,0.0199550647429709
2,0.0165365065127265,0.0195820603414149
3,0.0160743348483403,0.0190918788700126
4,0.0154693241993906,0.0185452377250501
5,0.014692376229048,0.0178475213002286
6,0.0139953986289239,0.0170520642146447
7,0.0132677331665545,0.0162392654895874
8,0.0125437486234815,0.0155111758347129
9,0.011904498965297,0.0147103237271776
10,0.011270895780118,0.0139794754258345
11,0.0106755315762527,0.0131367552140279
12,0.0100869330514171,0.01244941548665
13,0.00953572252272615,0.0117967155089047
14,0.00901330840864503,0.01118302178867
15,0.00852730266496956,0.0105900118020882
16,0.00806770742631088,0.0100092451372423
17,0.00763314523522818,0.00947596985207007
18,0.00722367991846151,0.00896852173218389
19,0.00684218393460562,0.00848644927108296
20,0.00650105410676772,0.00801575007084041
21,0.0061837180273336,0.00757542396478637
22,0.00589586326288269,0.00716530428103377
23,0.00561948195045824,0.00678047318344983
24,0.00536346244186961,0.00641478646737939
25,0.00511221726563543,0.00607850062406822
26,0.00488111536630915,0.00575453316585805
27,0.00466791890973549,0.00545085450101722
28,0.00447888066238525,0.00516300207118903
29,0.00428848304564873,0.00489536331671175
