u_prime/sigma,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km
1.05,0.0312306246124923,0.0321,0.03107,0.03043,0.03070030700307,0.031570315703157,0.030750307503075,0.031070310703107,0.031370313703137,0.03049,0.03101,0.0316,0.03107,0.03074,0.03063,0.0313,0.03139,0.03116,0.03136,0.03069,0.03043,0.02852,0.02988,0.03007,0.03039,0.03107,0.02993,0.03051,0.03079
1.225,0.0241804836096722,0.0237,0.02453,0.02487,0.024620246202462,0.024620246202462,0.024380243802438,0.024370243702437,0.023960239602396,0.02461,0.02352,0.02402,0.02436,0.0237,0.02458,0.02345,0.02312,0.02273,0.02291,0.02238,0.02187,0.02274,0.023,0.02335,0.023,0.02191,0.023,0.02263,0.02403
1.4,0.0191703834076682,0.01879,0.01817,0.01926,0.018770187701877,0.01740017400174,0.017320173201732,0.017870178701787,0.018220182201822,0.01775,0.0185,0.01821,0.01806,0.01779,0.0169,0.01775,0.01742,0.01759,0.01751,0.01741,0.01743,0.01752,0.0176,0.01697,0.01691,0.01765,0.01694,0.01689,0.01675
1.575,0.0140802816056321,0.01465,0.01449,0.01388,0.013750137501375,0.01360013600136,0.014110141101411,0.014150141501415,0.013860138601386,0.01383,0.0129,0.01369,0.01417,0.01355,0.01326,0.01214,0.01298,0.01249,0.01289,0.01342,0.01311,0.01371,0.01321,0.01314,0.01353,0.01307,0.0134,0.01334,0.01298
1.75,0.0111502230044601,0.01126,0.01073,0.01057,0.010560105601056,0.011060110601106,0.011060110601106,0.010570105701057,0.010420104201042,0.01114,0.01103,0.01029,0.01056,0.01061,0.01022,0.00998,0.0099,0.00977,0.00997,0.00958,0.01013,0.00988,0.00965,0.0106,0.01101,0.01027,0.01034,0.01058,0.01044
1.925,0.00869017380347607,0.00838,0.0082,0.00815,0.00859008590085901,0.00810008100081001,0.00835008350083501,0.00859008590085901,0.00798007980079801,0.00781,0.00806,0.00758,0.00737,0.00762,0.00777,0.00765,0.00738,0.00744,0.00713,0.00772,0.00755,0.00765,0.00779,0.00758,0.0075,0.00781,0.00802,0.00829,0.00851
2.1,0.00617012340246805,0.00629,0.00622,0.00627,0.00620006200062001,0.00595005950059501,0.00572005720057201,0.00623006230062301,0.00617006170061701,0.006,0.00588,0.00588,0.00596,0.0057,0.00563,0.0061,0.00582,0.00583,0.00585,0.00536,0.00575,0.00519,0.00542,0.00561,0.0053,0.006,0.00617,0.00598,0.00607
2.275,0.00456009120182404,0.00431,0.00461,0.00445,0.00468004680046801,0.00462004620046201,0.004470044700447,0.004510045100451,0.004590045900459,0.00427,0.00438,0.00452,0.00467,0.00445,0.00449,0.0045,0.00475,0.00462,0.00446,0.00437,0.00424,0.0044,0.00454,0.00455,0.00448,0.00439,0.00477,0.00473,0.00481
2.45,0.00317006340126803,0.00343,0.00339,0.00347,0.003370033700337,0.003490034900349,0.003630036300363,0.003410034100341,0.003480034800348,0.00315,0.00343,0.00345,0.00329,0.00355,0.00347,0.00339,0.00354,0.00346,0.00356,0.0034,0.00327,0.00359,0.0034,0.00341,0.00358,0.00336,0.00324,0.00337,0.00377
2.625,0.00267005340106802,0.00264,0.00272,0.00245,0.002750027500275,0.00260002600026,0.002650026500265,0.002280022800228,0.00250002500025,0.00261,0.00257,0.00268,0.00257,0.00278,0.0028,0.00251,0.00241,0.00272,0.00242,0.00253,0.00269,0.00279,0.00285,0.0027,0.00243,0.00263,0.00263,0.00293,0.00297
2.8,0.00238004760095202,0.00223,0.00207,0.00207,0.001950019500195,0.001870018700187,0.00170001700017,0.001940019400194,0.001870018700187,0.002,0.00207,0.0019,0.00193,0.0019,0.00205,0.00189,0.00196,0.00214,0.00207,0.00188,0.00208,0.00207,0.00213,0.00198,0.0021,0.00223,0.00196,0.00212,0.00208
2.975,0.00163003260065201,0.00149,0.00142,0.00166,0.001440014400144,0.001210012100121,0.001240012400124,0.001340013400134,0.001470014700147,0.00151,0.0016,0.00153,0.0016,0.00138,0.00124,0.00145,0.00152,0.00151,0.00151,0.00188,0.00176,0.0014,0.00136,0.00131,0.00124,0.00138,0.00168,0.00164,0.00143
3.15,0.000930018600372007,0.00084,0.00093,0.00116,0.001170011700117,0.001220012200122,0.001380013800138,0.001080010800108,0.000920009200092001,0.00108,0.00114,0.00106,0.00101,0.00098,0.00105,0.00116,0.00113,0.00105,0.00123,0.00117,0.00112,0.00103,0.00098,0.00108,0.00138,0.00115,0.00126,0.00119,0.00107
3.325,0.000810016200324007,0.00078,0.00077,0.00073,0.000580005800058001,0.000770007700077001,0.000730007300073001,0.000840008400084001,0.000930009300093001,0.00084,0.00069,0.00075,0.00063,0.00085,0.00078,0.0008,0.00087,0.00095,0.00091,0.00089,0.00071,0.00083,0.0008,0.001,0.00094,0.00102,0.00098,0.00079,0.00085
3.5,0.000400008000160003,0.0005,0.00056,0.00058,0.000600006000060001,0.000580005800058001,0.000500005000050001,0.000530005300053001,0.000580005800058001,0.00055,0.00058,0.00051,0.00063,0.00052,0.0006,0.00065,0.00052,0.00038,0.00064,0.00062,0.00062,0.00074,0.00078,0.00077,0.00081,0.0007,0.00069,0.0007,0.00058
3.675,0.000370007400148003,0.00042,0.00034,0.00037,0.000260002600026,0.000470004700047,0.000430004300043,0.00040000400004,0.000390003900039,0.00043,0.00029,0.00035,0.00037,0.0004,0.00037,0.00046,0.00042,0.00043,0.00042,0.00044,0.0006,0.00051,0.00054,0.00063,0.00057,0.00058,0.00045,0.00041,0.00057
3.85,0.000290005800116002,0.00027,0.00027,0.00019,0.000360003600036,0.000210002100021,0.000270002700027,0.000250002500025,0.000290002900029,0.00034,0.00035,0.00037,0.00026,0.00035,0.00041,0.00027,0.00029,0.0004,0.00032,0.0004,0.00041,0.00044,0.00047,0.00039,0.00049,0.00047,0.0004,0.00049,0.00032
4.025,0.000190003800076002,0.00022,0.00025,0.00019,0.000210002100021,0.000180001800018,0.00020000200002,0.000190001900019,0.00020000200002,0.00024,0.00024,0.00018,0.00022,0.00037,0.00027,0.00023,0.00032,0.00026,0.00032,0.00029,0.00023,0.00027,0.00037,0.00027,0.00028,0.00035,0.00036,0.00027,0.00035
4.2,0.000190003800076002,0.00012,0.00012,0.00012,0.000150001500015,0.000170001700017,0.000170001700017,0.000180001800018,0.000180001800018,0.00019,0.00013,0.00022,0.00018,0.00022,0.00019,0.00023,0.00022,0.00029,0.00015,0.00026,0.00027,0.00028,0.00027,0.00024,0.00021,0.00024,0.00023,0.00022,0.00021
4.375,8.00E-05,0.00012,0.00015,0.00014,0.000120001200012,0.00020000200002,0.000130001300013,0.000130001300013,0.000140001400014,0.00012,8.00E-05,0.00016,0.00018,0.00013,0.00022,0.00025,0.00022,0.00018,0.00028,0.00011,0.00014,0.00011,0.00011,0.00026,0.00016,0.00014,0.00013,0.00013,9.00E-05
4.55,7.00E-05,9.00E-05,0.00012,0.00011,0.000130001300013,0.00010000100001,0.000160001600016,0.000110001100011,0.000120001200012,0.0001,0.00015,9.00E-05,0.00015,0.00012,0.00013,0.00016,0.00015,9.00E-05,0.00012,9.00E-05,9.00E-05,0.00012,0.0002,8.00E-05,1.40E-04,0.0001,8.00E-05,7.00E-05,9.00E-05
4.725,6.00E-05,4.00E-05,7.00E-05,9.00E-05,6.00E-05,0.00010000100001,0.00010000100001,6.00E-05,7.00E-05,8.00E-05,8.00E-05,0.0001,6.00E-05,0.0001,7.00E-05,0.0001,7.00E-05,0.00011,5.00E-05,9.00E-05,0.00016,0.00018,6.00E-05,1.50E-04,7.00E-05,6.00E-05,1.00E-05,4.00E-05,2.00E-05
4.9,3.00E-05,3.00E-05,6.00E-05,6.00E-05,2.00E-05,5.00E-05,2.00E-05,6.00E-05,4.00E-05,6.00E-05,5.00E-05,1.00E-04,8.00E-05,5.00E-05,8.00E-05,4.00E-05,1.30E-04,9.00E-05,4.00E-05,1.20E-04,5.00E-05,6.00E-05,0.00012,4.00E-05,6.00E-05,5.00E-05,4.00E-05,2.00E-05,4.00E-05
5.075,1.00E-05,2.00E-05,2.00E-05,3.00E-05,3.00E-05,0.00E+00,1.00E-05,2.00E-05,4.00E-05,1.00E-05,1.00E-05,4.00E-05,4.00E-05,4.00E-05,9.00E-05,9.00E-05,5.00E-05,5.00E-05,1.00E-04,6.00E-05,6.00E-05,9.00E-05,2.00E-05,0.00E+00,0,0,2.00E-05,3.00E-05,0.00E+00
5.25,0.00E+00,0.00E+00,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.00E+00,0.00E+00,1.00E-05,1.00E-05,0.00E+00,3.00E-05,2.00E-05,1.00E-05,4.00E-05,3.00E-05,3.00E-05,3.00E-05,4.00E-05,6.00E-05,1.00E-05,1.00E-05,4.00E-05,4.00E-05,1.00E-05,2.00E-05,0.00E+00,0
5.425,0.00E+00,0.00E+00,2.00E-05,1.00E-05,0,2.00E-05,3.00E-05,1.00E-05,1.00E-05,0.00E+00,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.00E+00,0.00E+00,4.00E-05,5.00E-05,4.00E-05,4.00E-05,3.00E-05,1.00E-05,1.00E-05,2.00E-05,0.00E+00,0,1.00E-05,0.00E+00
5.6,1.00E-05,1.00E-05,0.00E+00,1.00E-05,0,1.00E-05,0.00E+00,1.00E-05,0.00E+00,1.00E-05,0.00E+00,0.00E+00,0.00E+00,0,1.00E-05,1.00E-05,1.00E-05,0.00E+00,0,0.00E+00,0,1.00E-05,2.00E-05,0.00E+00,0,2.00E-05,0.00E+00,0,0
5.775,0.00E+00,1.00E-05,1.00E-05,0,0,1.00E-05,1.00E-05,0.00E+00,1.00E-05,0.00E+00,1.00E-05,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,1.00E-05,1.00E-05,0,1.00E-05,0,0,0,3.00E-05,1.00E-05,0.00E+00,0
5.95,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.00E+00,0.00E+00,0,0,0,0,0,2.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.00E+00,0,0
6.125,0,0,1.00E-05,0.00E+00,0,0,0,0,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0,0,0.00E+00,0,0,0,1.00E-05,0,0,1.00E-05,0.00E+00,0,0,2.00E-05,0.00E+00,0
6.3,0.00E+00,0,0,1.00E-05,0,0,0.00E+00,0.00E+00,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0,1.00E-05,0,0,2.00E-05,1.00E-05,0.00E+00,1.00E-05,2.00E-05,0.00E+00
6.475,1.00E-05,0,0,0,0,0,1.00E-05,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,1.00E-05,0.00E+00,0,0,0,1.00E-05,3.00E-05
6.65,0,1.00E-05,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,1.00E-05,0.00E+00,0,1.00E-05,1.00E-05
6.825,0,3.00E-05,1.00E-05,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,1.00E-05,0.00E+00,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
