,date,n,alpha,alpha_tpl,lambda_tpl,mu,sigma,D_PL,D_TPL,D_LN,lr_PL_v_TPL,p_PL_v_TPL,lr_PL_v_LN,p_PL_v_LN,lr_LN_v_TPL,p_LN_v_TPL,doy,month
0,2012-03-31 12:20:10,123,2.213841023224635,2.07705795169998,0.0005040398160584007,-7.5362071441266005,3.2289423622955318,0.07077814565236301,0.08320704023032002,0.08161263886096384,-0.5817587498978942,0.2807372346799293,-0.18439137755376578,0.7003130741474374,-0.39736737234412844,0.1316496706177721,91,3
1,2012-03-31 13:36:54,169,2.147389020834007,1.7266891914968212,0.0019297132517002574,2.784125203848676,1.390746440210344,0.08649358823762715,0.04327958988426711,0.03379084906172619,-3.6047572432048813,0.007251810865580244,-4.123903888881502,0.08447565049543841,0.5191466456766163,0.5596583217685774,91,3
2,2012-04-01 11:25:08,202,2.091674088460751,1.8495525303433515,0.0008546659217544385,0.5186910954387627,2.066474500740789,0.06019138900304881,0.042296173633022696,0.03777919647976834,-2.46976743851618,0.02624909928157615,-1.7760441678659378,0.1991849424498856,-0.6937232706502434,0.15375292412813213,92,4
3,2012-04-01 14:19:38,204,2.162469085741776,2.0529754563879665,0.00034586773389930485,-5.416686411595303,3.0180561944725715,0.04637123018035871,0.03589837177246147,0.038620145100598524,-0.8172503745805813,0.2010816601713914,-0.4461796801622744,0.5642807858093706,-0.37107069441830687,0.1977075518435304,92,4
4,2012-04-02 12:07:57,218,2.1730559271649286,2.003687758017996,0.0006171500377866632,-2.67834573380744,2.5802723843274427,0.04385188049241895,0.036131933343555495,0.037310169569999774,-1.4452998127620642,0.08909775913474172,-0.764323695030857,0.4248259636722984,-0.6809761177312064,0.054582382213955186,93,4
5,2012-04-02 13:24:37,174,2.134781578260671,1.9778408233783826,0.0005223840607481568,-2.20353366807157,2.550081966289219,0.04511198689731999,0.032321940969498475,0.035990743680076154,-1.174623452650041,0.12534354792344438,-0.7244910600892993,0.4554136871923685,-0.45013239256074167,0.12254325997565106,93,4
6,2012-04-03 11:12:58,298,2.1210286054999923,1.9323940765029222,0.000647781406255347,-0.4346107415445948,2.234730323536664,0.0597166610752177,0.042019382517990006,0.03718003793240643,-2.5826596545322342,0.023042221415120356,-1.9489670705483784,0.17779591748077062,-0.6336925839838563,0.2772867829708354,94,4
7,2012-04-03 14:07:23,203,2.1295952334105017,1.9128258390283999,0.000789134242481635,0.058114546029361294,2.1212560449537183,0.057963356368609664,0.03885027299381805,0.03711391452882684,-2.083951540296927,0.04119675644503229,-1.55220493108774,0.23194450371597497,-0.531746609209188,0.33126642139987983,94,4
8,2012-04-04 11:55:45,206,2.3204065784085417,2.154422779600405,0.0007553551860828868,-1.838233969174047,2.268039200779827,0.051215508592762915,0.039778313015950695,0.03705309481066188,-0.9766211948216612,0.16223788041390053,-0.7612755630265067,0.4329114597888113,-0.21534563179515498,0.5510812086496739,95,4
9,2012-04-04 13:12:20,246,2.2729066624825256,2.1841025523183926,0.0003258788354718247,-1.1222475715566118,2.1918873262547347,0.06638270977642219,0.055909833619214255,0.04381510182334225,-0.5773594693357103,0.282563484845997,-1.1493605479154612,0.4283683585491823,0.5720010785797518,0.4772938451082698,95,4
10,2012-04-05 12:38:38,275,2.197284888020584,1.9190670069233338,0.001212678744070453,0.34103526948849616,1.9830247232488056,0.04339082280098716,0.03374548633420382,0.028656849812839114,-3.2178530904384006,0.011184868218666044,-2.105608958604961,0.1562206060955371,-1.1122441318334357,0.027800477677085694,96,4
11,2012-04-05 13:55:08,252,2.1463659001663538,1.9894230667773782,0.0005336055631799865,-5.220206031657668,3.0137713153975447,0.03261701666613659,0.0392530379128363,0.03446904316936994,-1.5832400631281756,0.07516427431842954,-0.5570642286254586,0.4421455570081677,-1.026175834502717,0.012105530613097343,96,4
12,2012-04-06 11:43:33,205,2.194859167018366,1.815131698879449,0.001802321148572078,2.444685752312279,1.45401676128913,0.09120881702813566,0.052005903268182496,0.04093358671774805,-3.51406990307089,0.008023865896364724,-3.952815673370247,0.08834426985923463,0.43874577029935935,0.5818719049272386,97,4
13,2012-04-06 13:00:02,215,2.175061909683124,1.9511023699729722,0.0008873354068692705,1.5947318362980993,1.7112104634263074,0.07854004112665527,0.05973047701807671,0.04583864397462656,-2.037389484928549,0.04352796052500907,-2.7463089069953366,0.1706177803370732,0.7089194220667889,0.42071137122221414,97,4
14,2012-04-07 12:26:24,271,2.1427599504699177,1.799306334308064,0.0014712086832555046,2.1556994874325244,1.5911409283696196,0.06285437435731861,0.028317098974021404,0.019825765008580132,-4.723975238179172,0.002113851766266217,-4.722147042981171,0.06015424744934453,-0.0018281951980054778,0.9982887376786619,98,4
15,2012-04-07 13:42:52,286,2.1674430797726743,1.887951516504403,0.0011674488349926928,0.9064338575682716,1.8883207301138365,0.041486409638193056,0.028079000070163285,0.034268080500101994,-3.5679674281043408,0.007555424285100365,-2.7330840354095294,0.14287506213707218,-0.8348833926948105,0.1883360694143913,98,4
16,2012-04-08 11:31:21,165,2.1216065816090683,1.6908662626055562,0.0019192202702768958,1.9447609664719487,1.6736359054709953,0.06066571952124189,0.03678902864928815,0.03934053789068978,-3.9127236937324517,0.005151569361936947,-2.603622607612313,0.12496902641228479,-1.3091010861201413,0.01016584867723884,99,4
17,2012-04-08 12:47:51,214,2.2088947660439446,1.5991040954215547,0.0033663973344186743,2.8351239860382926,1.3160171257130586,0.07596766994278997,0.02955538373393668,0.035805554546993884,-6.347032736563181,0.0003668178794037358,-5.339145249216417,0.03675539766870747,-1.0078874873467791,0.1222662323600559,99,4
