,matlab_index,year_doy,satellite,filename,manual time,SOIT time
0,1,2005090,aqua,1_NE_Greenland.2005090.aqua.250m.tif,2005-03-31 12:45:00,2005-03-31 11:09:19
1,2,2005090,terra,2_NE_Greenland.2005090.terra.250m.tif,2005-03-31 14:05:00,2005-03-31 14:07:19
2,3,2005091,aqua,3_NE_Greenland.2005091.aqua.250m.tif,2005-04-01 11:50:00,2005-04-01 11:52:05
3,4,2005091,terra,4_NE_Greenland.2005091.terra.250m.tif,2005-04-01 13:10:00,2005-04-01 13:12:17
4,5,2005092,aqua,5_NE_Greenland.2005092.aqua.250m.tif,2005-04-02 12:35:00,2005-04-02 12:34:57
5,6,2005092,terra,6_NE_Greenland.2005092.terra.250m.tif,2005-04-02 13:55:00,2005-04-02 13:55:07
6,7,2005093,aqua,7_NE_Greenland.2005093.aqua.250m.tif,2005-04-03 11:40:00,2005-04-03 11:39:50
7,8,2005093,terra,8_NE_Greenland.2005093.terra.250m.tif,2005-04-03 13:00:00,2005-04-03 13:00:02
8,9,2005094,aqua,9_NE_Greenland.2005094.aqua.250m.tif,2005-04-04 12:20:00,2005-04-04 12:22:41
9,10,2005094,terra,10_NE_Greenland.2005094.terra.250m.tif,2005-04-04 13:40:00,2005-04-04 13:42:54
10,11,2005095,aqua,11_NE_Greenland.2005095.aqua.250m.tif,2005-04-05 11:30:00,2005-04-05 11:27:37
11,12,2005095,terra,12_NE_Greenland.2005095.terra.250m.tif,2005-04-05 14:25:00,2005-04-05 12:47:48
12,13,2005096,aqua,13_NE_Greenland.2005096.aqua.250m.tif,2005-04-06 12:10:00,2005-04-06 12:10:25
13,14,2005096,terra,14_NE_Greenland.2005096.terra.250m.tif,2005-04-06 13:30:00,2005-04-06 13:30:41
14,15,2005097,aqua,15_NE_Greenland.2005097.aqua.250m.tif,2005-04-07 12:50:00,2005-04-07 11:15:23
15,16,2005097,terra,16_NE_Greenland.2005097.terra.250m.tif,2005-04-07 14:15:00,2005-04-07 14:13:28
16,17,2005098,aqua,17_NE_Greenland.2005098.aqua.250m.tif,2005-04-08 12:00:00,2005-04-08 11:58:09
17,18,2005098,terra,18_NE_Greenland.2005098.terra.250m.tif,2005-04-08 13:20:00,2005-04-08 13:18:27
18,19,2005099,aqua,19_NE_Greenland.2005099.aqua.250m.tif,2005-04-09 12:40:00,2005-04-09 12:41:02
19,20,2005099,terra,20_NE_Greenland.2005099.terra.250m.tif,2005-04-09 14:00:00,2005-04-09 14:01:16
20,21,2005100,aqua,21_NE_Greenland.2005100.aqua.250m.tif,2005-04-10 11:45:00,2005-04-10 11:45:54
21,22,2005100,terra,22_NE_Greenland.2005100.terra.250m.tif,2005-04-10 13:05:00,2005-04-10 13:06:13
22,23,2005101,aqua,23_NE_Greenland.2005101.aqua.250m.tif,2005-04-11 12:30:00,2005-04-11 12:28:45
23,24,2005101,terra,24_NE_Greenland.2005101.terra.250m.tif,2005-04-11 13:50:00,2005-04-11 13:49:03
24,25,2005102,aqua,25_NE_Greenland.2005102.aqua.250m.tif,2005-04-12 13:10:00,2005-04-12 11:33:40
25,26,2005102,terra,26_NE_Greenland.2005102.terra.250m.tif,2005-04-12 14:30:00,2005-04-12 12:53:57
26,27,2005103,aqua,27_NE_Greenland.2005103.aqua.250m.tif,2005-04-13 12:15:00,2005-04-13 12:16:28
27,28,2005103,terra,28_NE_Greenland.2005103.terra.250m.tif,2005-04-13 13:35:00,2005-04-13 13:36:50
28,29,2005104,aqua,29_NE_Greenland.2005104.aqua.250m.tif,2005-04-14 13:00:00,2005-04-14 11:21:25
29,30,2005104,terra,30_NE_Greenland.2005104.terra.250m.tif,2005-04-14 14:20:00,2005-04-14 14:19:36
30,31,2005105,aqua,31_NE_Greenland.2005105.aqua.250m.tif,2005-04-15 12:05:00,2005-04-15 12:04:12
31,32,2005105,terra,32_NE_Greenland.2005105.terra.250m.tif,2005-04-15 13:25:00,2005-04-15 13:24:36
32,33,2005106,aqua,33_NE_Greenland.2005106.aqua.250m.tif,2005-04-16 12:45:00,2005-04-16 11:09:11
33,34,2005106,terra,34_NE_Greenland.2005106.terra.250m.tif,2005-04-16 14:05:00,2005-04-16 14:07:23
34,35,2005107,aqua,35_NE_Greenland.2005107.aqua.250m.tif,2005-04-17 11:50:00,2005-04-17 11:51:56
35,36,2005107,terra,36_NE_Greenland.2005107.terra.250m.tif,2005-04-17 13:10:00,2005-04-17 13:12:21
36,37,2005108,aqua,37_NE_Greenland.2005108.aqua.250m.tif,2005-04-18 12:35:00,2005-04-18 12:34:48
37,38,2005108,terra,38_NE_Greenland.2005108.terra.250m.tif,2005-04-18 13:55:00,2005-04-18 13:55:10
38,39,2005109,aqua,39_NE_Greenland.2005109.aqua.250m.tif,2005-04-19 11:40:00,2005-04-19 11:39:41
39,40,2005109,terra,40_NE_Greenland.2005109.terra.250m.tif,2005-04-19 13:00:00,2005-04-19 13:00:06
40,41,2005110,aqua,41_NE_Greenland.2005110.aqua.250m.tif,2005-04-20 12:20:00,2005-04-20 12:22:30
41,42,2005110,terra,42_NE_Greenland.2005110.terra.250m.tif,2005-04-20 13:40:00,2005-04-20 13:42:57
42,43,2005111,aqua,43_NE_Greenland.2005111.aqua.250m.tif,2005-04-21 11:30:00,2005-04-21 11:27:26
43,44,2005111,terra,44_NE_Greenland.2005111.terra.250m.tif,2005-04-21 14:25:00,2005-04-21 12:47:50
44,45,2005112,aqua,45_NE_Greenland.2005112.aqua.250m.tif,2005-04-22 12:10:00,2005-04-22 12:10:13
45,46,2005112,terra,46_NE_Greenland.2005112.terra.250m.tif,2005-04-22 13:30:00,2005-04-22 13:30:43
46,47,2005113,aqua,47_NE_Greenland.2005113.aqua.250m.tif,2005-04-23 12:50:00,2005-04-23 11:15:11
47,48,2005113,terra,48_NE_Greenland.2005113.terra.250m.tif,2005-04-23 14:15:00,2005-04-23 14:13:30
48,49,2005114,aqua,49_NE_Greenland.2005114.aqua.250m.tif,2005-04-24 12:00:00,2005-04-24 11:57:57
49,50,2005114,terra,50_NE_Greenland.2005114.terra.250m.tif,2005-04-24 13:20:00,2005-04-24 13:18:28
50,51,2005115,aqua,51_NE_Greenland.2005115.aqua.250m.tif,2005-04-25 12:40:00,2005-04-25 12:40:49
51,52,2005115,terra,52_NE_Greenland.2005115.terra.250m.tif,2005-04-25 14:00:00,2005-04-25 14:01:17
52,53,2005116,aqua,53_NE_Greenland.2005116.aqua.250m.tif,2005-04-26 11:45:00,2005-04-26 11:45:41
53,54,2005116,terra,54_NE_Greenland.2005116.terra.250m.tif,2005-04-26 13:05:00,2005-04-26 13:06:13
