,matlab_index,year_doy,satellite,filename,manual time,SOIT time
0,1,2020091,aqua,1_Fram_Strait2020091.aqua.250m.tif,2020-03-31 12:55:00,2020-03-31 11:18:51
1,2,2020091,terra,2_Fram_Strait2020091.terra.250m.tif,2020-03-31 14:15:00,2020-03-31 14:14:15
2,3,2020092,aqua,3_Fram_Strait2020092.aqua.250m.tif,2020-04-01 12:00:00,2020-04-01 12:01:38
3,4,2020092,terra,4_Fram_Strait2020092.terra.250m.tif,2020-04-01 13:20:00,2020-04-01 13:19:13
4,5,2020093,aqua,5_Fram_Strait2020093.aqua.250m.tif,2020-04-02 12:45:00,2020-04-02 12:44:31
5,6,2020093,terra,6_Fram_Strait2020093.terra.250m.tif,2020-04-02 14:00:00,2020-04-02 14:02:01
6,7,2020094,aqua,7_Fram_Strait2020094.aqua.250m.tif,2020-04-03 11:50:00,2020-04-03 11:49:24
7,8,2020094,terra,8_Fram_Strait2020094.terra.250m.tif,2020-04-03 13:05:00,2020-04-03 13:06:57
8,9,2020095,aqua,9_Fram_Strait2020095.aqua.250m.tif,2020-04-04 12:30:00,2020-04-04 12:32:16
9,10,2020095,terra,10_Fram_Strait2020095.terra.250m.tif,2020-04-04 13:50:00,2020-04-04 13:49:46
10,11,2020096,aqua,11_Fram_Strait2020096.aqua.250m.tif,2020-04-05 11:35:00,2020-04-05 11:37:11
11,12,2020096,terra,12_Fram_Strait2020096.terra.250m.tif,2020-04-05 12:55:00,2020-04-05 12:54:40
12,13,2020097,aqua,13_Fram_Strait2020097.aqua.250m.tif,2020-04-06 12:20:00,2020-04-06 12:20:00
13,14,2020097,terra,14_Fram_Strait2020097.terra.250m.tif,2020-04-06 13:35:00,2020-04-06 13:37:31
14,15,2020098,aqua,15_Fram_Strait2020098.aqua.250m.tif,2020-04-07 13:00:00,2020-04-07 11:24:58
15,16,2020098,terra,16_Fram_Strait2020098.terra.250m.tif,2020-04-07 14:20:00,2020-04-07 14:20:17
16,17,2020099,aqua,17_Fram_Strait2020099.aqua.250m.tif,2020-04-08 12:05:00,2020-04-08 12:07:45
17,18,2020099,terra,18_Fram_Strait2020099.terra.250m.tif,2020-04-08 13:25:00,2020-04-08 13:25:16
18,19,2020100,aqua,19_Fram_Strait2020100.aqua.250m.tif,2020-04-09 12:50:00,2020-04-09 11:12:45
19,20,2020100,terra,20_Fram_Strait2020100.terra.250m.tif,2020-04-09 14:05:00,2020-04-09 14:08:03
20,21,2020101,aqua,21_Fram_Strait2020101.aqua.250m.tif,2020-04-10 11:55:00,2020-04-10 11:55:31
21,22,2020101,terra,22_Fram_Strait2020101.terra.250m.tif,2020-04-10 13:15:00,2020-04-10 13:13:00
22,23,2020102,aqua,23_Fram_Strait2020102.aqua.250m.tif,2020-04-11 12:40:00,2020-04-11 12:38:23
23,24,2020102,terra,24_Fram_Strait2020102.terra.250m.tif,2020-04-11 13:55:00,2020-04-11 13:55:48
24,25,2020103,aqua,25_Fram_Strait2020103.aqua.250m.tif,2020-04-12 11:45:00,2020-04-12 11:43:17
25,26,2020103,terra,26_Fram_Strait2020103.terra.250m.tif,2020-04-12 13:00:00,2020-04-12 13:00:43
26,27,2020104,aqua,27_Fram_Strait2020104.aqua.250m.tif,2020-04-13 12:25:00,2020-04-13 12:26:07
27,28,2020104,terra,28_Fram_Strait2020104.terra.250m.tif,2020-04-13 13:45:00,2020-04-13 13:43:33
28,29,2020105,aqua,29_Fram_Strait2020105.aqua.250m.tif,2020-04-14 11:30:00,2020-04-14 11:31:03
29,30,2020105,terra,30_Fram_Strait2020105.terra.250m.tif,2020-04-14 12:50:00,2020-04-14 12:48:26
30,31,2020106,aqua,31_Fram_Strait2020106.aqua.250m.tif,2020-04-15 12:15:00,2020-04-15 12:13:52
31,32,2020106,terra,32_Fram_Strait2020106.terra.250m.tif,2020-04-15 13:30:00,2020-04-15 13:31:18
32,33,2020107,aqua,33_Fram_Strait2020107.aqua.250m.tif,2020-04-16 12:55:00,2020-04-16 11:18:50
