,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
0,2013-04-01 12:00:00,2013_00002,802983.976,-1671541.745,-19.34106,73.00216,278.79516375,73.737875,31.20827,12.01157,-0.03975158126912156,-0.03964081494517664,-0.05051092027583162,-0.05590496745224146,222.0982541746384,0.07534400077609096
1,2013-04-02 12:00:00,2013_00002,801141.7274,-1677785.34943,-19.47555,72.95846,272.044643125,73.8729275,31.2914025,11.7415625,-0.02402607544638236,0.05085444026124644,-0.005178138033817645,-0.049518918285941946,185.96966010306528,0.04978891826206977
2,2013-04-03 12:00:00,2013_00002,802581.56252,-1681838.99418,-19.48926,72.9198,278.304975625,73.4127075,30.677825,12.1747675,-0.03775916536485958,0.010191038767235488,-0.0075105421236019276,-0.049379039725167315,188.64839155275638,0.04994694992859976
3,2013-04-04 12:00:00,2013_00002,803833.3469,-1685968.86769,-19.5092,72.88126,277.749281875,72.61769,30.07677,12.4146375,-0.03761108811219371,-0.03251700935334274,-0.04975606440106411,-0.11018435202706901,204.30255782620023,0.1208977145206141
4,2013-04-05 12:00:00,2013_00002,804049.95779,-1696412.18404,-19.6404,72.79521,282.18310375,73.03262,30.400225,12.5371975,-0.0705891247739781,-0.0645284916444629,-0.027094432753470205,-0.0987872420970008,195.33738890569867,0.10243547963163821
5,2013-04-06 12:00:00,2013_00002,805590.19504,-1705127.5555,-19.71154,72.7181,272.057856875,73.6854975,30.5648575,12.1399825,-0.05006142308329463,-0.05075442707546472,0.007109971458078296,-0.009003374574468148,141.70182382240563,0.01147224685329197
7,2013-04-01 12:00:00,2013_00009,903075.53033,-1635595.2301,-16.09524,72.87622,92.718616875,36.5992775,13.2308975,9.1643075,-0.17469171555091717,-0.28665203201572176,-0.03236418354956151,-0.20149929078707401,189.124734914211,0.20408185750948937
8,2013-04-02 12:00:00,2013_00009,909042.60995,-1652187.55061,-16.18017,72.71895,97.892856875,37.228715,13.02197,9.9581725,-0.17305685117551725,0.03477058490763992,-0.06569724284601701,-0.18034037922315532,200.0164698037266,0.1919343119296808
9,2013-04-03 12:00:00,2013_00009,911580.55448,-1668575.31609,-16.34973,72.57813,100.0488625,37.5270925,13.1541875,10.0500075,,0.046058550133073764,-0.06825091934614735,-0.18535801861610693,200.2142776997813,0.19752413284680775
11,2013-04-01 12:00:00,2013_00051,817960.2617,-1541195.6018,-17.04372,73.99393,234.142856875,81.9933575,27.1678775,12.6578075,-0.03180524000557666,0.022606803298400528,-0.026348534973722998,-0.25032533295659887,186.00866637505771,0.2517081993402154
12,2013-04-02 12:00:00,2013_00051,826088.61117,-1561367.05532,-17.11756,73.79802,230.401785625,76.4935725,26.39567,12.455905,-0.1297562748568421,-0.10836167887336218,-0.02987877523760281,-0.25205636393013536,186.76029797935945,0.25382110197416613
14,2013-04-01 12:00:00,2013_00062,844528.45428,-1259627.02655,-11.15976,76.06671,151.00892875,52.070215,20.53595,9.767345,-0.0012945263857882337,-0.015858452338414784,-0.0549088010065413,-0.15199235621637192,199.86277476524958,0.1616064750441035
15,2013-04-02 12:00:00,2013_00062,847901.03188,-1273176.39881,-11.33743,75.94714,154.69399,52.4350325,20.753585,9.8525825,-0.0651943292781291,-0.08428716412693671,-0.05202419155434386,-0.20932968809956998,193.95681272015457,0.21569755405833027
16,2013-04-03 12:00:00,2013_00062,854184.98387,-1290721.26864,-11.50382,75.78255,155.118805,53.5172175,20.7709675,9.898805,,-0.16756299144124093,-0.1292305626337703,-0.2614230334287895,206.3048000621704,0.2916205423589889
17,2013-04-04 12:00:00,2013_00062,857339.10705,-1315719.08198,-11.90554,75.57649,161.97692625,53.4663375,20.85876,10.184075,,-0.17226466256565623,-0.13200671917089685,-0.2651829769715218,206.46388523146462,0.29622252645898267
19,2013-04-01 12:00:00,2013_00077,849528.63546,-1625472.48655,-17.40687,73.1859,95.982143125,38.117,13.90005,9.00042,,0.24422665540668512,-0.03195357847373119,-0.2086323690198822,188.7076046076437,0.21106514771540374
20,2013-04-02 12:00:00,2013_00077,855431.24662,-1642726.81721,-17.49151,73.02296,95.2608525,38.0004475,13.8848275,8.97635,,0.17858321100039817,-0.028759183974763736,-0.21363850869655793,187.6668448169222,0.21556554237860828
21,2013-04-03 12:00:00,2013_00077,861752.69769,-1660246.08583,-17.56828,72.85613,95.543279375,38.01501,13.911085,8.973025,0.13024820858159303,,0.008304237227846845,-0.20722548545939057,177.70518911854015,0.20739180837201948
23,2013-04-01 12:00:00,2013_00078,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,0.003259553073726072,0.022159755191629726,0.00042248680601025,-0.002543439354652748,170.56879883317515,0.0025782899084565974
24,2013-04-02 12:00:00,2013_00078,668806.80087,-1378927.49501,-19.12571,75.92091,92.482143125,45.3055725,21.596945,5.7280325,-0.002628664136785626,-0.018993927263667096,-0.00040034348693039515,0.0024104881904463277,350.57016369861276,0.002443507361112055
26,2013-04-01 12:00:00,2013_00086,850589.36404,-1571531.14951,-16.57559,73.61223,69.49107125,31.781285,10.03409,9.17778,0.2504759495187127,-0.1194893091031694,0.014830400768693214,-0.2535785063018608,176.65290025562308,0.2540118100507197
27,2013-04-02 12:00:00,2013_00086,862144.98821,-1590189.16914,-16.535,73.41397,71.017856875,32.2725725,10.0439975,9.39448,-1.1621272412274044,-1.0630573144809246,-0.00877226243741945,-0.3002596392881292,181.67345397057977,0.30038775536580786
28,2013-04-03 12:00:00,2013_00086,873843.42181,-1613356.62305,-16.55866,73.17935,78.261113125,32.2631225,10.692485,9.5037875,-0.5627757553606596,-0.4029639447552003,-0.026547485945913968,-0.2199185507186453,186.8831595764675,0.2215150964612522
29,2013-04-04 12:00:00,2013_00086,880875.9303,-1631156.66472,-16.62956,73.00757,71.6149425,32.15485,10.1376525,9.3459875,0.09591461967934517,0.05255930299986984,-0.08326068128396685,-0.2717194100163785,197.03619289106246,0.28418968810905004
31,2013-04-01 12:00:00,2013_00107,775437.36453,-1483909.77012,-17.41006,74.63309,36.767856875,22.2098575,8.662465,5.4641175,,-0.031154943252016884,-0.04095792607758603,-0.19412478887528514,191.91396442430676,0.1983985518204481
32,2013-04-02 12:00:00,2013_00107,780068.97706,-1500413.82452,-17.52878,74.48091,36.41065,22.63218,8.874325,5.318085,,-0.031154943252016884,-0.042321731927077395,-0.19934424031116033,191.98619599611504,0.20378727913817643
34,2013-04-01 12:00:00,2013_00117,876984.23861,-1639493.79293,-16.85715,72.95786,31.830356875,20.9680725,7.9869175,5.279565,-0.2944669653406514,-0.23099121668067213,0.048986153808808455,-0.21030359492792883,166.88786021912358,0.21593342794618578
35,2013-04-02 12:00:00,2013_00117,889286.64131,-1653519.53387,-16.728,72.79365,32.732143125,21.7435,8.6053375,4.9963025,0.1163319856765076,0.09448978748079112,-0.07300986838255574,-0.32954235209820876,192.49205975677927,0.3375331134980062
37,2013-04-01 12:00:00,2013_00119,842343.6531,-1728799.77972,-19.02272,72.38191,29.973214375,22.0993575,9.78245,3.994615,-0.7165981471032895,-0.7102681976324098,-0.04320425804962191,-0.12008766482548787,199.78734410210285,0.12762309805382815
38,2013-04-02 12:00:00,2013_00119,843532.59768,-1739762.12915,-19.13333,72.28827,31.86607125,23.1075,10.136065,4.159545,-0.4364402291004873,-0.4066206335244283,-0.05622905932646332,-0.07902589026158037,215.43288030202734,0.09698865111122164
40,2013-04-01 12:00:00,2013_00127,922293.46282,-1714187.04022,-16.71817,72.17031,27.38392875,19.7413575,8.06774,4.45899,,0.3736602612540653,-0.11390337035877218,-0.234599059029099,205.8976655172641,0.2607886045754804
41,2013-04-02 12:00:00,2013_00127,923230.78805,-1736699.67109,-17.00185,71.98716,25.616893125,19.5782025,8.08141,4.17842,,0.3671977621076041,-0.11478495411262722,-0.23984136851394852,205.57516934196292,0.2658937151218163
42,2013-04-03 12:00:00,2013_00127,924200.80833,-1759652.39989,-17.29035,71.80035,24.863755,19.6861525,8.1440575,4.02215,0.15679769693363088,0.24788509647250084,-0.04857447172046337,-0.2161282360821131,192.66666086809096,0.2215195109575852
43,2013-04-04 12:00:00,2013_00127,929168.16235,-1778135.84256,-17.4106,71.63214,23.33548875,18.7642175,7.6993075,4.028155,0.15679769693363088,0.035166441011370064,-0.11076782327390669,-0.32354845934324805,198.8987994494941,0.34198408766524335
44,2013-04-05 12:00:00,2013_00127,933632.73905,-1807344.02445,-17.68013,71.38028,23.873853125,18.77321,7.7228875,4.0689775,,0.02945279382668872,-0.08049392647396753,-0.2869164970636089,195.67137201442324,0.29799387323642806
45,2013-04-06 12:00:00,2013_00127,938831.16166,-1832560.4368,-17.87348,71.15716,22.784935625,18.5779775,7.7775275,3.8529575,,,0.008240699959772516,-0.1634170782479586,177.11316759236672,0.16362472490099536
47,2013-04-01 12:00:00,2013_00129,796352.47782,-1430515.75459,-15.89579,74.96949,26.482143125,19.2175,7.2646175,4.8374375,0.18506909301437063,0.1920180035360026,-0.10863548415935351,-0.19431950644611926,209.20763455529826,0.22262465946970145
48,2013-04-02 12:00:00,2013_00129,796317.75658,-1449750.49383,-16.2209,74.81683,27.01761625,19.3896925,7.14517,5.05093,0.07841481742181558,0.0984928859801483,-0.05006230458140968,-0.18242970157145816,195.34533575213277,0.18917407421592716
50,2013-04-01 12:00:00,2013_00132,927021.64164,-1643204.94448,-15.57029,72.71079,25.723214375,19.7978575,8.3265725,4.1550575,,0.01843179623557066,-0.02167388675315958,-0.139125003998336,188.85476954039632,0.14080313954072826
51,2013-04-02 12:00:00,2013_00132,931296.95364,-1654594.34533,-15.62627,72.60224,26.58686375,20.06482,8.2885025,4.2617775,,0.007258207972461876,-0.03272780385868297,-0.1435879916343918,192.8399917262002,0.14727056897768334
52,2013-04-03 12:00:00,2013_00132,934917.88767,-1666792.44031,-15.71155,72.49023,27.425273125,20.51395,8.4146075,4.359755,-0.0039027766882006112,-0.020851271320797254,-0.07119703409132783,-0.10816486182616804,213.3539924342155,0.12949384154188848
54,2013-04-01 12:00:00,2013_00148,831102.82885,-1665999.19883,-18.48726,72.9354,75.563646875,32.693215,11.1061,9.08168,0.06241682398028386,0.08700046870007219,-0.03588672814791982,-0.3041339349996399,186.72958200334847,0.30624386961297345
55,2013-04-02 12:00:00,2013_00148,840058.38065,-1690897.02328,-18.58125,72.69802,74.830356875,32.8705725,11.15209,8.9940225,0.015498979277703719,0.15145797159025015,-0.004698114009943216,-0.2664437541747381,181.01017272203126,0.2664851710958392
56,2013-04-03 12:00:00,2013_00148,849937.43337,-1711694.22436,-18.59342,72.49018,79.402026875,33.83022,11.362045,9.2859575,-0.04676857739832618,-0.11978748943482072,-0.02581285661762077,-0.2399187067218434,186.1408317002979,0.24130331411284792
58,2013-04-01 12:00:00,2013_00149,817279.92738,-1633678.8023,-18.42249,73.25261,72.33591375,33.0169375,13.619775,6.8403475,0.012734752552524337,-0.020816470029018715,0.032914974473103695,-0.31299352766351507,173.9967357189896,0.31471946858085637
59,2013-04-02 12:00:00,2013_00149,831922.32675,-1656591.50764,-18.33469,73.00812,76.794643125,34.7028575,13.73575,7.3424225,0.04167652607090398,0.07312880149498273,0.006753256553658021,-0.25965530624533745,178.51015604787455,0.2597431125851839
60,2013-04-03 12:00:00,2013_00149,842511.73433,-1676377.84271,-18.31688,72.80542,75.361975625,33.4985675,13.82654,7.0445375,0.009669493797074841,-0.0008887898475418311,-0.006198618804941394,-0.24034893068874397,181.47733541218815,0.2404288488478694
62,2013-04-01 12:00:00,2013_00150,842607.2968,-1376111.8764,-13.52062,75.18429,67.72782875,31.72345,10.62866,8.500825,-0.17243063457739818,-0.15577720310671847,-0.09909866836963509,-0.14888830980022036,213.64736510984378,0.17885266245656314
63,2013-04-02 12:00:00,2013_00150,842022.77159,-1391553.68726,-13.82201,75.06723,69.658378125,31.7420875,11.057285,8.3640675,-0.17243063457739818,-0.15577720310671847,-0.11763527665102212,-0.18007672006119652,213.15461297667235,0.21509459179802976
65,2013-04-01 12:00:00,2013_00151,816776.2036,-1692911.69443,-19.24413,72.77414,41.20967125,25.03722,10.254845,5.2413925,-0.13815394229713196,-0.13666555507048944,0.03595896394229764,-0.09498255812717157,159.26409008011683,0.10156147614221146
66,2013-04-02 12:00:00,2013_00151,823140.42923,-1698952.86192,-19.14987,72.7,40.36607125,25.2400725,10.41785,5.0559775,-0.13815394229713196,-0.13666555507048944,0.04102612212209636,-0.08479904503628335,154.18211444902488,0.09420202086708532
68,2013-04-01 12:00:00,2013_00152,815469.01991,-1646014.10233,-18.64523,73.16006,35.5625,24.9906275,10.56236,4.739965,-0.47572170755841847,-0.4029636853759365,0.006618273983210937,-0.29264655408832213,178.70446265512356,0.29272138147099214
69,2013-04-02 12:00:00,2013_00152,827205.9679,-1668416.89624,-18.62765,72.93153,35.919643125,24.8775,10.7742425,4.5300875,-0.47572170755841847,-0.3437777975448709,-0.0017904529129049301,-0.23523188399677075,180.43609485496546,0.23523869785879944
70,2013-04-03 12:00:00,2013_00152,836095.36657,-1686694.44836,-18.63225,72.74797,36.2542325,25.438405,10.9755075,4.5287,,-0.35197261392242557,-0.004438406707517148,-0.2450952267993622,181.03745055719753,0.2451354108527206
72,2013-04-01 12:00:00,2013_00153,894578.3779,-1922590.63523,-20.04748,70.60471,32.738914375,22.8471075,9.738735,4.4372125,-0.023617832631937178,0.19150790810834956,0.019889509743016662,-0.2274624651670858,175.00271910338336,0.22833038706599101
